datetime,open,high,low,close
2003-12-01,7635.89990,7635.89990,7635.89990,7635.89990
2003-12-02,7624.10010,7624.10010,7624.10010,7624.10010
2003-12-03,7633.60010,7633.60010,7633.60010,7633.60010
2003-12-04,7629.5,7629.5,7629.5,7629.5
2003-12-05,7632.89990,7632.89990,7632.89990,7632.89990
2003-12-08,7634.60010,7634.60010,7634.60010,7634.60010
2003-12-09,7639.29980,7639.29980,7639.29980,7639.29980
2003-12-10,7636.39990,7636.39990,7636.39990,7636.39990
2003-12-11,7633.29980,7633.29980,7633.29980,7633.29980
2003-12-12,7637.79980,7637.79980,7637.79980,7637.79980
2003-12-15,7634.70020,7634.70020,7634.70020,7634.70020
2003-12-16,7633.20020,7633.20020,7633.20020,7633.20020
2003-12-17,7644.70020,7644.70020,7644.70020,7644.70020
2003-12-18,7645.79980,7645.79980,7645.79980,7645.79980
2003-12-19,7630.29980,7630.29980,7630.29980,7630.29980
2003-12-22,7639.10010,7639.10010,7639.10010,7639.10010
2003-12-23,7640.70020,7640.70020,7640.70020,7640.70020
2003-12-29,7642.10010,7642.10010,7642.10010,7642.10010
2003-12-30,7643.20020,7643.20020,7643.20020,7643.20020
2003-12-31,7570,7570,7570,7570
2004-01-02,7645.70020,7645.70020,7645.70020,7645.70020
2004-01-05,7643.70020,7643.70020,7643.70020,7643.70020
2004-01-06,7639,7639,7639,7639
2004-01-07,7641.5,7641.5,7641.5,7641.5
2004-01-08,7627.20020,7627.20020,7627.20020,7627.20020
2004-01-09,7648.5,7648.5,7648.5,7648.5
2004-01-12,7645.10010,7645.10010,7645.10010,7645.10010
2004-01-13,7644.20020,7644.20020,7644.20020,7644.20020
2004-01-14,7642.29980,7642.29980,7642.29980,7642.29980
2004-01-15,7642,7642,7642,7642
2004-01-16,7653.5,7653.5,7653.5,7653.5
2004-01-19,7631.39990,7631.39990,7631.39990,7631.39990
2004-01-20,7626.29980,7626.29980,7626.29980,7626.29980
2004-01-21,7633,7635.70020,7633,7635.70020
2004-01-22,7645.39990,7645.39990,7645.39990,7645.39990
2004-01-23,7655.5,7655.5,7655.5,7655.5
2004-01-26,7646.29980,7646.29980,7646.29980,7646.29980
2004-01-27,7635.70020,7635.70020,7635.70020,7635.70020
2004-01-28,7646.39990,7646.39990,7646.39990,7646.39990
2004-01-29,7644.20020,7644.20020,7644.20020,7644.20020
2004-01-30,7628.79980,7628.79980,7628.79980,7628.79980
2004-02-02,7630.89990,7630.89990,7630.89990,7630.89990
2004-02-03,7643,7643,7643,7643
2004-02-04,7643,7643,7643,7643
2004-02-05,7639.5,7639.5,7639.5,7639.5
2004-02-06,7641.5,7641.5,7641.5,7641.5
2004-02-09,7646.29980,7681.29980,7646.29980,7681.29980
2004-02-10,7643.5,7643.5,7643.5,7643.5
2004-02-11,7640.60010,7640.60010,7640.60010,7640.60010
2004-02-12,7644.60010,7644.60010,7644.60010,7644.60010
2004-02-13,7646.10010,7646.10010,7646.10010,7646.10010
2004-02-16,7645,7645,7645,7645
2004-02-17,7649.39990,7649.39990,7649.39990,7649.39990
2004-02-18,7651.5,7651.5,7651.5,7651.5
2004-02-19,7644.79980,7644.79980,7644.79980,7644.79980
2004-02-20,7641.10010,7641.10010,7641.10010,7641.10010
2004-02-23,7642.70020,7642.70020,7642.70020,7642.70020
2004-02-24,7641.20020,7641.20020,7641.20020,7641.20020
2004-02-25,7652,7652,7652,7652
2004-02-26,7637.70020,7637.70020,7637.70020,7637.70020
2004-02-27,7638,7638,7638,7638
2004-03-01,7643.20020,7643.20020,7643.20020,7643.20020
2004-03-02,7644.60010,7644.60010,7644.60010,7644.60010
2004-03-03,7650.60010,7650.60010,7650.60010,7650.60010
2004-03-04,7646.79980,7646.79980,7646.79980,7646.79980
2004-03-05,7636.79980,7636.79980,7636.79980,7636.79980
2004-03-08,7644.89990,7644.89990,7644.89990,7644.89990
2004-03-09,7637.10010,7637.10010,7637.10010,7637.10010
2004-03-10,7637.10010,7637.10010,7637.10010,7637.10010
2004-03-11,7631.20020,7631.20020,7631.20020,7631.20020
2004-03-12,7642.29980,7642.29980,7642.29980,7642.29980
2004-03-15,7642.10010,7642.10010,7642.10010,7642.10010
