datetime,open,high,low,close
1990-12-07,7.98280,7.98280,7.98280,7.98280
1990-12-10,7.96150,7.96150,7.96150,7.96150
1990-12-11,7.90740,7.90740,7.90740,7.90740
1990-12-12,7.92190,7.92190,7.92190,7.92190
1990-12-13,7.92360,7.92360,7.92360,7.92360
1990-12-14,7.92880,7.92880,7.92880,7.92880
1990-12-17,7.95540,7.95540,7.95540,7.95540
1990-12-18,7.98490,7.98490,7.98490,7.98490
1990-12-19,7.98380,7.98380,7.98380,7.98380
1990-12-20,7.92000,7.92000,7.92000,7.92000
1990-12-21,8.00039959,8.00039959,8.00039959,8.00039959
1990-12-24,8.050000,8.050000,8.050000,8.050000
1990-12-25,8.050000,8.050000,8.050000,8.050000
1990-12-26,8.11420,8.11420,8.11420,8.11420
1990-12-27,8.16360,8.16360,8.16360,8.16360
1990-12-28,8.17890,8.17890,8.17890,8.17890
1990-12-31,8,8,8,8
1991-01-02,7.98000,7.98000,7.98000,7.98000
1991-01-03,7.99060,7.99060,7.99060,7.99060
1991-01-04,7.98470,7.98470,7.98470,7.98470
1991-01-07,8.12000,8.12000,8.12000,8.12000
1991-01-08,8.11000,8.11000,8.11000,8.11000
1991-01-09,8.12720,8.12720,8.12720,8.12720
1991-01-10,8.080000,8.080000,8.080000,8.080000
1991-01-11,8.11760,8.11760,8.11760,8.11760
1991-01-14,8.10000,8.10000,8.10000,8.10000
1991-01-15,8.20100,8.20100,8.20100,8.20100
1991-01-16,8.17740,8.17740,8.17740,8.17740
1991-01-17,8.080000,8.080000,8.080000,8.080000
1991-01-18,8.087500,8.087500,8.087500,8.087500
1991-01-21,8.065300,8.065300,8.065300,8.065300
1991-01-22,8.0049000,8.0049000,8.0049000,8.0049000
1991-01-23,7.94550,7.94550,7.94550,7.94550
1991-01-24,7.99410,7.99410,7.99410,7.99410
1991-01-25,7.93280,7.93280,7.93280,7.93280
1991-01-28,7.92760,7.92760,7.92760,7.92760
1991-01-29,7.94300,7.94300,7.94300,7.94300
1991-01-30,7.91930,7.91930,7.91930,7.91930
1991-01-31,7.95740,7.95740,7.95740,7.95740
1991-02-01,7.92730,7.92730,7.92730,7.92730
1991-02-04,7.90930,7.90930,7.90930,7.90930
1991-02-05,7.84570,7.84570,7.84570,7.84570
1991-02-06,7.84300,7.84300,7.84300,7.84300
1991-02-07,7.81480,7.81480,7.81480,7.81480
1991-02-08,7.80730,7.80730,7.80730,7.80730
1991-02-11,7.83090,7.83090,7.83090,7.83090
1991-02-12,7.80710,7.80710,7.80710,7.80710
1991-02-13,7.81280,7.81280,7.81280,7.81280
1991-02-14,7.81880,7.81880,7.81880,7.81880
1991-02-15,7.84670,7.84670,7.84670,7.84670
1991-02-18,7.88980,7.88980,7.88980,7.88980
1991-02-19,7.92190,7.92190,7.92190,7.92190
1991-02-20,7.95910,7.95910,7.95910,7.95910
1991-02-21,7.95650,7.95650,7.95650,7.95650
1991-02-22,7.95650,7.95650,7.95650,7.95650
1991-02-25,7.95770,7.95770,7.95770,7.95770
1991-02-26,8.042500,8.042500,8.042500,8.042500
1991-02-27,8.083100,8.083100,8.083100,8.083100
1991-02-28,8.093700,8.093700,8.093700,8.093700
1991-03-01,8.083000,8.083000,8.083000,8.083000
1991-03-04,8.15720,8.15720,8.15720,8.15720
1991-03-05,8.15720,8.15720,8.15720,8.15720
1991-03-06,8.15720,8.15720,8.15720,8.15720
1991-03-07,8.17910,8.17910,8.17910,8.17910
1991-03-08,8.18380,8.18380,8.18380,8.18380
1991-03-11,8.23580,8.23580,8.23580,8.23580
1991-03-12,8.30170,8.30170,8.30170,8.30170
1991-03-13,8.30170,8.30170,8.30170,8.30170
1991-03-14,8.30170,8.30170,8.30170,8.30170
1991-03-15,8.31870,8.31870,8.31870,8.31870
1991-03-18,8.36940,8.36940,8.36940,8.36940
1991-03-19,8.50070,8.50070,8.50070,8.50070
1991-03-20,8.53690,8.53690,8.53690,8.53690
1991-03-21,8.67220,8.67220,8.67220,8.67220
1991-03-22,8.56130,8.56130,8.56130,8.56130
1991-03-25,8.61060,8.61060,8.61060,8.61060
1991-03-26,8.69980,8.69980,8.69980,8.69980
1991-03-27,8.79110,8.79110,8.79110,8.79110
1991-03-28,8.81370,8.81370,8.81370,8.81370
1991-03-29,8.81370,8.81370,8.81370,8.81370
1991-04-01,8.81370,8.81370,8.81370,8.81370
1991-04-02,8.87390,8.87390,8.87390,8.87390
1991-04-03,8.80190,8.80190,8.80190,8.80190
1991-04-04,8.70190,8.70190,8.70190,8.70190
1991-04-05,8.70190,8.70190,8.70190,8.70190
1991-04-08,8.70190,8.70190,8.70190,8.70190
1991-04-09,8.70190,8.70190,8.70190,8.70190
1991-04-10,8.70190,8.70190,8.70190,8.70190
1991-04-11,8.70190,8.70190,8.70190,8.70190
1991-04-12,8.70190,8.70190,8.70190,8.70190
1991-04-15,8.70190,8.70190,8.70190,8.70190
1991-04-16,8.70190,8.70190,8.70190,8.70190
1991-04-17,8.70190,8.70190,8.70190,8.70190
1991-04-18,8.70190,8.70190,8.70190,8.70190
1991-04-19,8.70190,8.70190,8.70190,8.70190
1991-04-22,8.85770,8.85770,8.85770,8.85770
1991-04-23,8.85770,8.85770,8.85770,8.85770
1991-04-24,9.036000,9.036000,9.036000,9.036000
1991-04-25,8.93410,8.93410,8.93410,8.93410
1991-04-26,8.93410,8.93410,8.93410,8.93410
1991-04-29,8.93410,8.93410,8.93410,8.93410
1991-04-30,8.93410,8.93410,8.93410,8.93410
1991-05-01,8.93410,8.93410,8.93410,8.93410
1991-05-02,8.93410,8.93410,8.93410,8.93410
1991-05-03,8.93410,8.93410,8.93410,8.93410
1991-05-06,8.93410,8.93410,8.93410,8.93410
1991-05-07,8.93410,8.93410,8.93410,8.93410
1991-05-08,8.93410,8.93410,8.93410,8.93410
1991-05-09,8.93410,8.93410,8.93410,8.93410
1991-05-10,8.93410,8.93410,8.93410,8.93410
1991-05-13,8.93410,8.93410,8.93410,8.93410
1991-05-14,8.93410,8.93410,8.93410,8.93410
1991-05-15,8.93410,8.93410,8.93410,8.93410
1991-05-16,8.93410,8.93410,8.93410,8.93410
1991-05-17,8.93410,8.93410,8.93410,8.93410
1991-05-20,8.93410,8.93410,8.93410,8.93410
1991-05-21,8.93410,8.93410,8.93410,8.93410
1991-05-22,8.93410,8.93410,8.93410,8.93410
1991-05-23,8.93410,8.93410,8.93410,8.93410
1991-05-24,8.93410,8.93410,8.93410,8.93410
1991-05-27,8.93410,8.93410,8.93410,8.93410
1991-05-28,8.93410,8.93410,8.93410,8.93410
1991-05-29,8.86560,8.86560,8.86560,8.86560
1991-05-30,8.86560,8.86560,8.86560,8.86560
1991-05-31,8.86730,8.86730,8.86730,8.86730
1991-06-03,8.91570,8.91570,8.91570,8.91570
1991-06-04,8.91570,8.91570,8.91570,8.91570
1991-06-05,8.91570,8.91570,8.91570,8.91570
1991-06-06,9.022600,9.022600,9.022600,9.022600
1991-06-07,9.022600,9.022600,9.022600,9.022600
1991-06-10,9.022600,9.022600,9.022600,9.022600
1991-06-11,9.022600,9.022600,9.022600,9.022600
1991-06-12,9.10480,9.10480,9.10480,9.10480
1991-06-13,9.10480,9.10480,9.10480,9.10480
1991-06-14,9.24870,9.24870,9.24870,9.24870
1991-06-17,9.24570,9.24570,9.24570,9.24570
1991-06-18,9.25470,9.25470,9.25470,9.25470
1991-06-19,9.31430,9.31430,9.31430,9.31430
1991-06-20,9.29390,9.29390,9.29390,9.29390
1991-06-21,9.21830,9.21830,9.21830,9.21830
1991-06-24,9.21830,9.21830,9.21830,9.21830
1991-06-25,9.21830,9.21830,9.21830,9.21830
1991-06-26,9.24330,9.24330,9.24330,9.24330
1991-06-27,9.23520,9.23520,9.23520,9.23520
1991-06-28,9.23520,9.23520,9.23520,9.23520
1991-07-01,9.23520,9.23520,9.23520,9.23520
1991-07-02,9.27010,9.27010,9.27010,9.27010
1991-07-03,9.27010,9.27010,9.27010,9.27010
1991-07-04,9.27010,9.27010,9.27010,9.27010
1991-07-05,9.36630,9.36630,9.36630,9.36630
1991-07-08,9.36630,9.36630,9.36630,9.36630
1991-07-09,9.36630,9.36630,9.36630,9.36630
1991-07-10,9.36630,9.36630,9.36630,9.36630
1991-07-11,9.36630,9.36630,9.36630,9.36630
1991-07-12,9.36630,9.36630,9.36630,9.36630
1991-07-15,9.36630,9.36630,9.36630,9.36630
1991-07-16,9.36630,9.36630,9.36630,9.36630
1991-07-17,9.36630,9.36630,9.36630,9.36630
1991-07-18,9.36630,9.36630,9.36630,9.36630
1991-07-19,9.36630,9.36630,9.36630,9.36630
1991-07-22,9.36630,9.36630,9.36630,9.36630
1991-07-23,9.36630,9.36630,9.36630,9.36630
1991-07-24,9.099000,9.099000,9.099000,9.099000
1991-07-25,9.035000,9.035000,9.035000,9.035000
1991-07-26,9.029100,9.029100,9.029100,9.029100
1991-07-29,9.035900,9.035900,9.035900,9.035900
1991-07-30,9.035900,9.035900,9.035900,9.035900
1991-07-31,9.025500,9.025500,9.025500,9.025500
1991-08-01,9.029300,9.029300,9.029300,9.029300
1991-08-02,9.030100,9.030100,9.030100,9.030100
1991-08-05,9.11100,9.11100,9.11100,9.11100
1991-08-06,8.99280,8.99280,8.99280,8.99280
1991-08-07,8.88660,8.88660,8.88660,8.88660
1991-08-08,8.90970,8.90970,8.90970,8.90970
1991-08-09,8.90970,8.90970,8.90970,8.90970
1991-08-12,8.90970,8.90970,8.90970,8.90970
1991-08-13,8.95660,8.95660,8.95660,8.95660
1991-08-14,8.95660,8.95660,8.95660,8.95660
1991-08-15,8.95660,8.95660,8.95660,8.95660
1991-08-16,8.95660,8.95660,8.95660,8.95660
1991-08-19,9.047000,9.047000,9.047000,9.047000
1991-08-20,9.047000,9.047000,9.047000,9.047000
1991-08-21,9.047000,9.047000,9.047000,9.047000
1991-08-22,9.14290,9.14290,9.14290,9.14290
1991-08-23,9.015900,9.015900,9.015900,9.015900
1991-08-26,8.97660,8.97660,8.97660,8.97660
1991-08-27,9.048600,9.048600,9.048600,9.048600
1991-08-28,9.045200,9.045200,9.045200,9.045200
1991-08-29,9.063800,9.063800,9.063800,9.063800
1991-08-30,8.98030,8.98030,8.98030,8.98030
1991-09-02,9.0026999,9.0026999,9.0026999,9.0026999
1991-09-03,9.018100,9.018100,9.018100,9.018100
1991-09-04,8.99820,8.99820,8.99820,8.99820
1991-09-05,8.99820,8.99820,8.99820,8.99820
1991-09-06,8.98870,8.98870,8.98870,8.98870
1991-09-09,8.98290,8.98290,8.98290,8.98290
1991-09-10,8.86990,8.86990,8.86990,8.86990
1991-09-11,8.81640,8.81640,8.81640,8.81640
1991-09-12,8.83510,8.83510,8.83510,8.83510
1991-09-13,8.80630,8.80630,8.80630,8.80630
1991-09-16,8.81070,8.81070,8.81070,8.81070
1991-09-17,8.79380,8.79380,8.79380,8.79380
1991-09-18,8.79380,8.79380,8.79380,8.79380
1991-09-19,8.79380,8.79380,8.79380,8.79380
1991-09-20,8.79380,8.79380,8.79380,8.79380
1991-09-23,8.79380,8.79380,8.79380,8.79380
1991-09-24,8.79380,8.79380,8.79380,8.79380
1991-09-25,8.79380,8.79380,8.79380,8.79380
1991-09-26,8.79380,8.79380,8.79380,8.79380
1991-09-27,8.79380,8.79380,8.79380,8.79380
1991-09-30,8.79380,8.79380,8.79380,8.79380
1991-10-01,8.79380,8.79380,8.79380,8.79380
1991-10-02,8.79380,8.79380,8.79380,8.79380
1991-10-03,8.79380,8.79380,8.79380,8.79380
1991-10-04,8.79380,8.79380,8.79380,8.79380
1991-10-07,8.79380,8.79380,8.79380,8.79380
1991-10-08,8.79380,8.79380,8.79380,8.79380
1991-10-09,8.79380,8.79380,8.79380,8.79380
1991-10-10,8.79380,8.79380,8.79380,8.79380
1991-10-11,8.79380,8.79380,8.79380,8.79380
1991-10-14,8.79380,8.79380,8.79380,8.79380
1991-10-15,8.79380,8.79380,8.79380,8.79380
1991-10-16,8.79380,8.79380,8.79380,8.79380
1991-10-17,8.79380,8.79380,8.79380,8.79380
1991-10-18,8.79380,8.79380,8.79380,8.79380
1991-10-21,8.79380,8.79380,8.79380,8.79380
1991-10-22,8.79380,8.79380,8.79380,8.79380
1991-10-23,8.79380,8.79380,8.79380,8.79380
1991-10-24,8.79380,8.79380,8.79380,8.79380
1991-10-25,8.79380,8.79380,8.79380,8.79380
1991-10-28,8.79380,8.79380,8.79380,8.79380
1991-10-29,8.79380,8.79380,8.79380,8.79380
1991-10-30,8.79380,8.79380,8.79380,8.79380
1991-10-31,8.79380,8.79380,8.79380,8.79380
1991-11-01,8.79380,8.79380,8.79380,8.79380
1991-11-04,8.79380,8.79380,8.79380,8.79380
1991-11-05,8.61380,8.61380,8.61380,8.61380
1991-11-06,8.63100,8.63100,8.63100,8.63100
1991-11-07,8.63100,8.63100,8.63100,8.63100
1991-11-08,8.60360,8.60360,8.60360,8.60360
1991-11-11,8.60360,8.60360,8.60360,8.60360
1991-11-12,8.64990,8.64990,8.64990,8.64990
1991-11-13,8.59830,8.59830,8.59830,8.59830
1991-11-14,8.60910,8.60910,8.60910,8.60910
1991-11-15,8.59300,8.59300,8.59300,8.59300
1991-11-18,8.59300,8.59300,8.59300,8.59300
1991-11-19,8.59300,8.59300,8.59300,8.59300
1991-11-20,8.48220,8.48220,8.48220,8.48220
1991-11-21,8.47450,8.47450,8.47450,8.47450
1991-11-22,8.48700,8.48700,8.48700,8.48700
1991-11-25,8.42520,8.42520,8.42520,8.42520
1991-11-26,8.40780,8.40780,8.40780,8.40780
1991-11-27,8.40780,8.40780,8.40780,8.40780
1991-11-28,8.51870,8.51870,8.51870,8.51870
1991-11-29,8.53160,8.53160,8.53160,8.53160
1991-12-02,8.60230,8.60230,8.60230,8.60230
1991-12-03,8.50790,8.50790,8.50790,8.50790
1991-12-04,8.53160,8.53160,8.53160,8.53160
1991-12-05,8.49510,8.49510,8.49510,8.49510
1991-12-06,8.45950,8.45950,8.45950,8.45950
1991-12-09,8.36990,8.36990,8.36990,8.36990
1991-12-10,8.36990,8.36990,8.36990,8.36990
1991-12-11,8.36990,8.36990,8.36990,8.36990
1991-12-12,8.41840,8.41840,8.41840,8.41840
1991-12-13,8.41840,8.41840,8.41840,8.41840
1991-12-16,8.40670,8.40670,8.40670,8.40670
1991-12-17,8.38690,8.38690,8.38690,8.38690
1991-12-18,8.38690,8.38690,8.38690,8.38690
1991-12-19,8.33290,8.33290,8.33290,8.33290
1991-12-20,8.33290,8.33290,8.33290,8.33290
1991-12-23,8.33290,8.33290,8.33290,8.33290
1991-12-24,8.33290,8.33290,8.33290,8.33290
1991-12-25,8.33290,8.33290,8.33290,8.33290
1991-12-26,8.33290,8.33290,8.33290,8.33290
1991-12-27,8.33290,8.33290,8.33290,8.33290
1991-12-30,8.33290,8.33290,8.33290,8.33290
1991-12-31,8.33290,8.33290,8.33290,8.33290
1992-01-01,8.33290,8.33290,8.33290,8.33290
1992-01-02,8.33290,8.33290,8.33290,8.33290
1992-01-03,8.33290,8.33290,8.33290,8.33290
1992-01-06,8.20610,8.20610,8.20610,8.20610
1992-01-07,8.14140,8.14140,8.14140,8.14140
1992-01-08,8.14140,8.14140,8.14140,8.14140
1992-01-09,8.091300,8.091300,8.091300,8.091300
1992-01-10,8.20290,8.20290,8.20290,8.20290
1992-01-13,8.35160,8.35160,8.35160,8.35160
1992-01-14,8.40380,8.40380,8.40380,8.40380
1992-01-15,8.38440,8.38440,8.38440,8.38440
1992-01-16,8.38440,8.38440,8.38440,8.38440
1992-01-17,8.38440,8.38440,8.38440,8.38440
1992-01-20,8.63580,8.63580,8.63580,8.63580
1992-01-21,8.47370,8.47370,8.47370,8.47370
1992-01-22,8.47370,8.47370,8.47370,8.47370
1992-01-23,8.45350,8.45350,8.45350,8.45350
1992-01-24,8.48450,8.48450,8.48450,8.48450
1992-01-27,8.56360,8.56360,8.56360,8.56360
1992-01-28,8.53860,8.53860,8.53860,8.53860
1992-01-29,8.56440,8.56440,8.56440,8.56440
1992-01-30,8.56440,8.56440,8.56440,8.56440
1992-01-31,8.56440,8.56440,8.56440,8.56440
1992-02-03,8.56440,8.56440,8.56440,8.56440
1992-02-04,8.56580,8.56580,8.56580,8.56580
1992-02-05,8.56580,8.56580,8.56580,8.56580
1992-02-06,8.48000,8.48000,8.48000,8.48000
1992-02-07,8.43710,8.43710,8.43710,8.43710
1992-02-10,8.43710,8.43710,8.43710,8.43710
1992-02-11,8.38600,8.38600,8.38600,8.38600
1992-02-12,8.49280,8.49280,8.49280,8.49280
1992-02-13,8.54020,8.54020,8.54020,8.54020
1992-02-14,8.54240,8.54240,8.54240,8.54240
1992-02-17,8.64070,8.64070,8.64070,8.64070
1992-02-18,8.64070,8.64070,8.64070,8.64070
1992-02-19,8.74430,8.74430,8.74430,8.74430
1992-02-20,8.74430,8.74430,8.74430,8.74430
1992-02-21,8.77630,8.77630,8.77630,8.77630
1992-02-24,8.77630,8.77630,8.77630,8.77630
1992-02-25,8.78900,8.78900,8.78900,8.78900
1992-02-26,8.78900,8.78900,8.78900,8.78900
1992-02-27,8.78900,8.78900,8.78900,8.78900
1992-02-28,8.78900,8.78900,8.78900,8.78900
1992-03-02,8.78900,8.78900,8.78900,8.78900
1992-03-03,8.73590,8.73590,8.73590,8.73590
1992-03-04,8.73590,8.73590,8.73590,8.73590
1992-03-05,8.73590,8.73590,8.73590,8.73590
1992-03-06,8.73590,8.73590,8.73590,8.73590
1992-03-09,8.85500,8.85500,8.85500,8.85500
1992-03-10,8.85810,8.85810,8.85810,8.85810
1992-03-11,8.83940,8.83940,8.83940,8.83940
1992-03-12,8.89870,8.89870,8.89870,8.89870
1992-03-13,8.87340,8.87340,8.87340,8.87340
1992-03-16,8.86740,8.86740,8.86740,8.86740
1992-03-17,8.86190,8.86190,8.86190,8.86190
1992-03-18,8.81870,8.81870,8.81870,8.81870
1992-03-19,8.79680,8.79680,8.79680,8.79680
1992-03-20,8.88600,8.88600,8.88600,8.88600
1992-03-23,8.91750,8.91750,8.91750,8.91750
1992-03-24,8.90260,8.90260,8.90260,8.90260
1992-03-25,8.86090,8.86090,8.86090,8.86090
1992-03-26,8.86090,8.86090,8.86090,8.86090
1992-03-27,8.86090,8.86090,8.86090,8.86090
1992-03-30,8.85290,8.85290,8.85290,8.85290
1992-03-31,8.79400,8.79400,8.79400,8.79400
1992-04-01,8.80020,8.80020,8.80020,8.80020
1992-04-02,8.85290,8.85290,8.85290,8.85290
1992-04-03,8.84680,8.84680,8.84680,8.84680
1992-04-06,8.84680,8.84680,8.84680,8.84680
1992-04-07,8.84680,8.84680,8.84680,8.84680
1992-04-08,8.84680,8.84680,8.84680,8.84680
1992-04-09,8.73380,8.73380,8.73380,8.73380
1992-04-10,8.73380,8.73380,8.73380,8.73380
1992-04-13,8.73380,8.73380,8.73380,8.73380
1992-04-14,8.73380,8.73380,8.73380,8.73380
1992-04-15,8.80070,8.80070,8.80070,8.80070
1992-04-16,8.80990,8.80990,8.80990,8.80990
1992-04-17,8.80990,8.80990,8.80990,8.80990
1992-04-20,8.76000,8.76000,8.76000,8.76000
1992-04-21,8.80990,8.80990,8.80990,8.80990
1992-04-22,8.80990,8.80990,8.80990,8.80990
1992-04-23,8.80990,8.80990,8.80990,8.80990
1992-04-24,8.80990,8.80990,8.80990,8.80990
1992-04-27,8.75,8.75,8.75,8.75
1992-04-28,8.80990,8.80990,8.80990,8.80990
1992-04-29,8.80990,8.80990,8.80990,8.80990
1992-04-30,8.80990,8.80990,8.80990,8.80990
1992-05-01,8.80990,8.80990,8.80990,8.80990
1992-05-04,8.70000,8.70000,8.70000,8.70000
1992-05-11,8.76000,8.76000,8.76000,8.76000
1992-05-18,8.58000,8.58000,8.58000,8.58000
1992-05-25,8.57000,8.57000,8.57000,8.57000
1992-06-01,8.5,8.5,8.5,8.5
1992-06-08,8.48000,8.48000,8.48000,8.48000
1992-06-15,8.43000,8.43000,8.43000,8.43000
1992-06-22,8.38000,8.38000,8.38000,8.38000
1992-06-29,8.25,8.25,8.25,8.25
1992-07-06,8.15000,8.15000,8.15000,8.15000
1992-07-13,7.92630,7.92630,7.92630,7.92630
1992-07-20,7.93000,7.93000,7.93000,7.93000
1992-07-27,8.060000,8.060000,8.060000,8.060000
1992-08-03,8.010000,8.010000,8.010000,8.010000
1992-08-10,8.030000,8.030000,8.030000,8.030000
1992-08-17,7.96000,7.96000,7.96000,7.96000
1992-08-24,7.95000,7.95000,7.95000,7.95000
1992-08-31,7.77000,7.77000,7.77000,7.77000
1992-09-07,7.76000,7.76000,7.76000,7.76000
1992-09-14,7.76000,7.76000,7.76000,7.76000
1992-09-21,8.22000,8.22000,8.22000,8.22000
1992-09-28,8.16720,8.16720,8.16720,8.16720
1992-10-05,7.99000,7.99000,7.99000,7.99000
1992-10-12,8.12000,8.12000,8.12000,8.12000
1992-10-19,8.060000,8.060000,8.060000,8.060000
1992-10-26,8.30000,8.30000,8.30000,8.30000
1992-11-02,8.40000,8.40000,8.40000,8.40000
1992-11-09,8.55000,8.55000,8.55000,8.55000
1992-11-16,8.56000,8.56000,8.56000,8.56000
1992-11-17,8.72350,8.72350,8.72350,8.72350
1992-11-18,8.72350,8.72350,8.72350,8.72350
1992-11-19,8.72350,8.72350,8.72350,8.72350
1992-11-20,8.72350,8.72350,8.72350,8.72350
1992-11-23,8.72350,8.72350,8.72350,8.72350
1992-11-24,8.72350,8.72350,8.72350,8.72350
1992-11-25,8.72350,8.72350,8.72350,8.72350
1992-11-26,8.72350,8.72350,8.72350,8.72350
1992-11-27,8.72350,8.72350,8.72350,8.72350
1992-11-30,8.72350,8.72350,8.72350,8.72350
1992-12-01,8.72350,8.72350,8.72350,8.72350
1992-12-02,8.72350,8.72350,8.72350,8.72350
1992-12-03,8.72350,8.72350,8.72350,8.72350
1992-12-04,8.72350,8.72350,8.72350,8.72350
1992-12-07,8.72350,8.72350,8.72350,8.72350
1992-12-08,8.72350,8.72350,8.72350,8.72350
1992-12-09,8.63250,8.63250,8.63250,8.63250
1992-12-10,8.63250,8.63250,8.63250,8.63250
1992-12-11,8.63250,8.63250,8.63250,8.63250
1992-12-14,8.63250,8.63250,8.63250,8.63250
1992-12-15,8.74200,8.74200,8.74200,8.74200
1992-12-16,8.74200,8.74200,8.74200,8.74200
1992-12-17,8.70430,8.70430,8.70430,8.70430
1992-12-18,8.70430,8.70430,8.70430,8.70430
1992-12-21,8.70430,8.70430,8.70430,8.70430
1992-12-22,8.70430,8.70430,8.70430,8.70430
1992-12-23,8.70430,8.70430,8.70430,8.70430
1992-12-24,8.70430,8.70430,8.70430,8.70430
1992-12-25,8.70430,8.70430,8.70430,8.70430
1992-12-28,8.70430,8.70430,8.70430,8.70430
1992-12-29,8.90840,8.90840,8.90840,8.90840
1992-12-30,8.90840,8.90840,8.90840,8.90840
1992-12-31,8.90840,8.90840,8.90840,8.90840
1993-01-04,8.90840,8.90840,8.90840,8.90840
1993-01-05,8.90840,8.90840,8.90840,8.90840
1993-01-06,8.90840,8.90840,8.90840,8.90840
1993-01-07,9.099800,9.099800,9.099800,9.099800
1993-01-08,9.099800,9.099800,9.099800,9.099800
1993-01-11,9.099800,9.099800,9.099800,9.099800
1993-01-12,9.13810,9.13810,9.13810,9.13810
1993-01-13,9.13810,9.13810,9.13810,9.13810
1993-01-14,9.13810,9.13810,9.13810,9.13810
1993-01-15,9.13810,9.13810,9.13810,9.13810
1993-01-18,9.13810,9.13810,9.13810,9.13810
1993-01-19,9.020300,9.020300,9.020300,9.020300
1993-01-20,9.020300,9.020300,9.020300,9.020300
1993-01-21,8.97580,8.97580,8.97580,8.97580
1993-01-22,8.97580,8.97580,8.97580,8.97580
1993-01-25,8.97560,8.97560,8.97560,8.97560
1993-01-26,8.97560,8.97560,8.97560,8.97560
1993-01-27,8.82120,8.82120,8.82120,8.82120
1993-01-28,8.82120,8.82120,8.82120,8.82120
1993-01-29,8.82120,8.82120,8.82120,8.82120
1993-02-01,8.82120,8.82120,8.82120,8.82120
1993-02-02,9.087800,9.087800,9.087800,9.087800
1993-02-03,9.087800,9.087800,9.087800,9.087800
1993-02-04,9.087800,9.087800,9.087800,9.087800
1993-02-05,9.17430,9.17430,9.17430,9.17430
1993-02-08,9.22030,9.22030,9.22030,9.22030
1993-02-09,9.22030,9.22030,9.22030,9.22030
1993-02-10,9.22030,9.22030,9.22030,9.22030
1993-02-11,9.22030,9.22030,9.22030,9.22030
1993-02-12,9.22030,9.22030,9.22030,9.22030
1993-02-15,9.22030,9.22030,9.22030,9.22030
1993-02-16,9.22030,9.22030,9.22030,9.22030
1993-02-17,9.22030,9.22030,9.22030,9.22030
1993-02-18,9.12140,9.12140,9.12140,9.12140
1993-02-19,9.12140,9.12140,9.12140,9.12140
1993-02-22,9.12140,9.12140,9.12140,9.12140
1993-02-23,9.12140,9.12140,9.12140,9.12140
1993-02-24,9.12140,9.12140,9.12140,9.12140
