datetime,open,high,low,close
1995-08-17,4.5,4.53000,4.5,4.53000
1995-08-18,4.5,4.53000,4.5,4.53000
1995-08-21,4.5,4.53000,4.5,4.53000
1995-08-22,4.5,4.53000,4.5,4.53000
1995-08-23,4.5,4.53000,4.5,4.53000
1995-08-24,4.49000,4.52000,4.49000,4.52000
1995-08-25,4.49000,4.52000,4.49000,4.52000
1995-08-28,4.49000,4.52000,4.49000,4.52000
1995-08-29,4.49000,4.52000,4.49000,4.52000
1995-08-30,4.49000,4.52000,4.49000,4.52000
1995-08-31,4.49000,4.52000,4.49000,4.52000
1995-09-01,4.49000,4.52000,4.49000,4.52000
1995-09-04,4.49000,4.52000,4.49000,4.52000
1995-09-05,4.49000,4.52000,4.49000,4.52000
1995-09-06,4.49000,4.52000,4.49000,4.52000
1995-09-07,4.49000,4.52000,4.49000,4.52000
1995-09-08,4.49000,4.52000,4.49000,4.52000
1995-09-11,4.49000,4.52000,4.49000,4.52000
1995-09-12,4.49000,4.52000,4.49000,4.52000
1995-09-13,4.49000,4.52000,4.49000,4.52000
1995-09-14,4.49000,4.52000,4.49000,4.52000
1995-09-15,4.49000,4.52000,4.49000,4.52000
1995-09-18,4.49000,4.52000,4.49000,4.52000
1995-09-19,4.49000,4.52000,4.49000,4.52000
1995-09-20,4.49000,4.52000,4.49000,4.52000
1995-09-21,4.49000,4.52000,4.49000,4.52000
1995-09-22,4.49000,4.52000,4.49000,4.52000
1995-09-25,4.49000,4.52000,4.49000,4.52000
1995-09-26,4.49000,4.52000,4.49000,4.52000
1995-09-27,4.49000,4.52000,4.49000,4.52000
1995-09-28,4.5,4.54500,4.5,4.54500
1995-09-29,4.5,4.54500,4.5,4.54500
1995-10-02,4.5,4.54500,4.5,4.54500
1995-10-03,4.5,4.54500,4.5,4.54500
1995-10-04,4.5,4.54500,4.5,4.54500
1995-10-05,4.5,4.54500,4.5,4.54500
1995-10-06,4.5,4.54500,4.5,4.54500
1995-10-09,4.49000,4.53000,4.49000,4.53000
1995-10-10,4.49000,4.53000,4.49000,4.53000
1995-10-11,4.49000,4.53000,4.49000,4.53000
1995-10-12,4.49000,4.53000,4.49000,4.53000
1995-10-13,4.49000,4.53000,4.49000,4.53000
1995-10-16,4.49000,4.53000,4.49000,4.53000
1995-10-17,4.49000,4.53000,4.49000,4.53000
