datetime,open,high,low,close
2004-08-26,1017.5,1040,995,1017.5
2004-08-27,1017.5,1040,975,1006.25
2004-08-30,1006.25,1025,975,1002.5
2004-08-31,1002.5,1030,975,1007.5
2004-09-01,1007.5,1040,975,1017.5
2004-09-02,1015.2,1032.5,1000,1016.25
2004-09-03,1016.25,1032.5,975,1016.25
2004-09-06,1022.5,1055,1000,1032.5
2004-09-07,1034.95,1055,975,1040
2004-09-08,1040,1055,1020,1035
2004-09-09,1035,1050,1000,1025
2004-09-10,1025,1050,1000,1030
2004-09-13,1015,1030,975,1017.5
2004-09-14,1017.5,1045,975,1025
2004-09-15,1025,1040,1010,1022.5
2004-09-16,1022.5,1040,975,1025
2004-09-17,1025,1040,975,1025
2004-09-20,1025,1060,975,1040
2004-09-21,1040,1060.5,1020,1040
2004-09-22,1036.25,1060,1010,1042.5
2004-09-23,1042.5,1060,975,1036.25
2004-09-24,1036.25,1050,975,1035
2004-09-27,1035,1060,975,1040
2004-09-28,1040,1060,1015,1027.5
2004-09-29,1027.5,1045,975,1025
2004-09-30,1026.25,1047.5,975,1020
2004-10-01,1020,1040,975,1022.5
2004-10-04,1022.5,1050,1000,1036.25
2004-10-05,1036.25,1050,975,1037.5
2004-10-06,1037.5,1050,975,1035
2004-10-07,1035,1055,1005,1037.5
2004-10-08,1037.5,1050,975,1035
2004-10-11,1024,1050,975,1030
2004-10-12,1031.5,1041.5,975,1032.5
2004-10-13,1031.3,1050,975,1035
2004-10-14,1036.35,1050,975,1044.5
2004-10-15,1031.4,1050,1018.6,1037.5
2004-10-18,1037.5,1060,1015,1032.5
2004-10-19,1032.5,1050,1015,1030
2004-10-20,1023.4,1045,995,1040
2004-10-21,1040,1045,1018,1035
2004-10-22,1035,1050,995,1032.5
2004-10-25,1035,1050,995,1036.25
2004-10-26,1036.25,1050,1010,1033.75
2004-10-27,1033.75,1051,1000,1028.75
2004-10-28,1031.5,1050,1005,1030
2004-10-29,1028.65,1050,995,1032.5
2004-11-01,1032.5,1056,995,1036
2004-11-02,1022.5,1035,995,1010
2004-11-03,1025,1040,995,1016.5
2004-11-04,1015,1030,983.5,998.75
2004-11-05,1000,1020,975,999
2004-11-08,988.25,1025,977.5,999
2004-11-09,994.5,1025,984.5,1006.75
2004-11-10,1005,1020,985,993
2004-11-11,1001.25,1015,975.5,984
2004-11-12,986.25,1007.5,965,996.25
2004-11-15,995,1010,965,988.75
2004-11-16,984,1004,964,987.75
2004-11-17,984,1000,975.5,992.5
2004-11-18,985,1002,966.5,976.5
2004-11-19,972.5,995,940,975.5
2004-11-22,975,1000,950,975
2004-11-23,975,990,950,981.25
2004-11-24,975,997.5,950,983.5
2004-11-25,982.5,1000,966,973.5
2004-11-26,970,982.5,961.5,975
2004-11-29,968,980,945,971.25
2004-11-30,968.75,990,947.5,967.5
2004-12-01,960.25,974.5,941.5,949.5
2004-12-02,952.5,975,900,920
2004-12-03,915,940,877.5,905
2004-12-06,909.75,950,875,912.5
2004-12-07,920,965,880,915
2004-12-08,927.5,965,889.8,927.4
2004-12-09,927.4,965,889.8,932.5
2004-12-10,942.5,975,900,937.5
2004-12-13,952.5,985,935,960
2004-12-14,947.5,972.5,930,950
2004-12-15,955,978.7,920,945
2004-12-16,945,970,923.1,955
2004-12-17,955,975,920,946.25
2004-12-20,946.25,972.5,920,947.5
2004-12-21,943.15,960,900,940
2004-12-22,942.5,959.1,900,947.35
2004-12-23,942.5,960,900,931.25
2004-12-24,931.25,952.5,900,931.25
2004-12-27,931.25,952.5,910,931.25
2004-12-28,930,955,910,930
2004-12-29,935,970,920,935
2004-12-30,932.5,945,912.5,927.5
2004-12-31,927.5,940,915,927.5
2005-01-03,1855,1900,1830,1875
2005-01-04,1868,1913,1820,1870
2005-01-05,1739.59998,1739.59998,1739.59998,1739.59998
