datetime,open,high,low,close
2003-12-01,6.17330,6.17330,6.17330,6.17330
2003-12-02,6.16340,6.16340,6.16340,6.16340
2003-12-03,6.17180,6.17180,6.17180,6.17180
2003-12-04,6.16820,6.16820,6.16820,6.16820
2003-12-05,6.17100,6.17100,6.17100,6.17100
2003-12-08,6.17290,6.17290,6.17290,6.17290
2003-12-09,6.17700,6.17700,6.17700,6.17700
2003-12-10,6.17440,6.17440,6.17440,6.17440
2003-12-11,6.17160,6.17160,6.17160,6.17160
2003-12-12,6.17510,6.17510,6.17510,6.17510
2003-12-15,6.17300,6.17300,6.17300,6.17300
2003-12-16,6.17230,6.17230,6.17230,6.17230
2003-12-17,6.18150,6.18150,6.18150,6.18150
2003-12-18,6.18280,6.18280,6.18280,6.18280
2003-12-19,6.17120,6.17120,6.17120,6.17120
2003-12-22,6.17740,6.17740,6.17740,6.17740
2003-12-23,6.17860,6.17860,6.17860,6.17860
2003-12-29,6.18010,6.18010,6.18010,6.18010
2003-12-30,6.18050,6.18050,6.18050,6.18050
2003-12-31,6.12170,6.12170,6.12170,6.12170
2004-01-02,6.18310,6.18310,6.18310,6.18310
2004-01-05,6.18200,6.18200,6.18200,6.18200
2004-01-06,6.17850,6.17850,6.17850,6.17850
2004-01-07,6.18010,6.18010,6.18010,6.18010
2004-01-08,6.16830,6.16830,6.16830,6.16830
2004-01-09,6.18590,6.18590,6.18590,6.18590
2004-01-12,6.18370,6.18370,6.18370,6.18370
2004-01-13,6.18260,6.18260,6.18260,6.18260
2004-01-14,6.18090,6.18090,6.18090,6.18090
2004-01-15,6.18050,6.18050,6.18050,6.18050
2004-01-16,6.18930,6.18930,6.18930,6.18930
2004-01-19,6.17090,6.17090,6.17090,6.17090
2004-01-20,6.16740,6.16740,6.16740,6.16740
2004-01-21,6.17320,6.17510,6.17320,6.17510
2004-01-22,6.18340,6.18340,6.18340,6.18340
2004-01-23,6.19180,6.19180,6.19180,6.19180
2004-01-26,6.18370,6.18370,6.18370,6.18370
2004-01-27,6.17460,6.17460,6.17460,6.17460
2004-01-28,6.18400,6.18400,6.18400,6.18400
2004-01-29,6.18180,6.18180,6.18180,6.18180
2004-01-30,6.16890,6.16890,6.16890,6.16890
2004-02-02,6.17080,6.17080,6.17080,6.17080
2004-02-03,6.18100,6.18100,6.18100,6.18100
2004-02-04,6.18100,6.18100,6.18100,6.18100
2004-02-05,6.17830,6.17830,6.17830,6.17830
2004-02-06,6.17970,6.17970,6.17970,6.17970
2004-02-09,6.18430,6.21260,6.18430,6.21260
2004-02-10,6.18210,6.18210,6.18210,6.18210
2004-02-11,6.17940,6.17940,6.17940,6.17940
2004-02-12,6.18330,6.18330,6.18330,6.18330
2004-02-13,6.18450,6.18450,6.18450,6.18450
2004-02-16,6.18340,6.18340,6.18340,6.18340
2004-02-17,6.18730,6.18730,6.18730,6.18730
2004-02-18,6.18900,6.18900,6.18900,6.18900
2004-02-19,6.18300,6.18300,6.18300,6.18300
2004-02-20,6.17980,6.17980,6.17980,6.17980
2004-02-23,6.18080,6.18080,6.18080,6.18080
2004-02-24,6.17980,6.17980,6.17980,6.17980
2004-02-25,6.18860,6.18860,6.18860,6.18860
2004-02-26,6.17630,6.17630,6.17630,6.17630
2004-02-27,6.17640,6.17640,6.17640,6.17640
2004-03-01,6.18090,6.18090,6.18090,6.18090
2004-03-02,6.18170,6.18170,6.18170,6.18170
2004-03-03,6.18560,6.18560,6.18560,6.18560
2004-03-04,6.18270,6.18270,6.18270,6.18270
2004-03-05,6.17470,6.17470,6.17470,6.17470
2004-03-08,6.18180,6.18180,6.18180,6.18180
2004-03-09,6.17570,6.17570,6.17570,6.17570
2004-03-10,6.17570,6.17570,6.17570,6.17570
2004-03-11,6.17030,6.17030,6.17030,6.17030
2004-03-12,6.17920,6.17920,6.17920,6.17920
2004-03-15,6.17900,6.17900,6.17900,6.17900
2004-03-16,6.17410,6.17410,6.17410,6.17410
2004-03-17,6.17410,6.17410,6.17410,6.17410
2004-03-18,6.17950,6.17950,6.17950,6.17950
2004-03-19,6.17800,6.17800,6.17800,6.17800
2004-03-22,6.17530,6.17530,6.17530,6.17530
2004-03-23,6.17440,6.17440,6.17440,6.17440
2004-03-24,6.17450,6.17450,6.17450,6.17450
