datetime,open,high,low,close
1994-09-07,7.98200,7.98200,7.98200,7.98200
1994-09-08,7.98200,7.98200,7.98200,7.98200
1994-09-09,7.98250,7.98250,7.98250,7.98250
1994-09-12,7.98250,7.98250,7.98250,7.98250
1994-09-13,7.98250,7.98250,7.98250,7.98250
1994-09-14,7.98250,7.98250,7.98250,7.98250
1994-09-15,7.98250,7.98250,7.98250,7.98250
1994-09-16,7.98250,7.98250,7.98250,7.98250
1994-09-19,7.98250,7.98250,7.98250,7.98250
1994-09-20,7.98250,7.98250,7.98250,7.98250
1994-09-21,7.98250,7.98250,7.98250,7.98250
1994-09-22,7.98250,7.98250,7.98250,7.98250
1994-09-23,7.98250,7.98250,7.98250,7.98250
1994-09-26,7.98250,7.98250,7.98250,7.98250
1994-09-27,7.98250,7.98250,7.98250,7.98250
1994-09-28,7.98250,7.98250,7.98250,7.98250
1994-09-29,7.98250,7.98250,7.98250,7.98250
1994-09-30,7.98250,7.98250,7.98250,7.98250
1994-10-03,7.98250,7.98250,7.98250,7.98250
1994-10-04,7.98250,7.98250,7.98250,7.98250
1994-10-05,7.98250,7.98250,7.98250,7.98250
1994-10-06,7.98250,7.98250,7.98250,7.98250
1994-10-07,7.98250,7.98250,7.98250,7.98250
1994-10-10,7.98250,7.98250,7.98250,7.98250
1994-10-11,7.98250,7.98250,7.98250,7.98250
1994-10-12,7.98250,7.98250,7.98250,7.98250
1994-10-13,7.98250,7.98250,7.98250,7.98250
1994-10-14,7.98270,7.98270,7.98270,7.98270
1994-10-17,7.98270,7.98270,7.98270,7.98270
1994-10-18,7.98270,7.98270,7.98270,7.98270
1994-10-19,7.98270,7.98270,7.98270,7.98270
1994-10-20,7.98270,7.98270,7.98270,7.98270
1994-10-21,7.98230,7.98230,7.98230,7.98230
1994-10-24,7.98230,7.98230,7.98230,7.98230
1994-10-25,7.98230,7.98230,7.98230,7.98230
1994-10-26,7.98230,7.98230,7.98230,7.98230
1994-10-27,7.98230,7.98230,7.98230,7.98230
1994-10-28,7.98230,7.98230,7.98230,7.98230
1994-10-31,7.98230,7.98230,7.98230,7.98230
1994-11-01,7.98230,7.98230,7.98230,7.98230
1994-11-02,7.98230,7.98230,7.98230,7.98230
1994-11-03,7.98230,7.98230,7.98230,7.98230
1994-11-04,7.98460,7.98460,7.98460,7.98460
1994-11-07,7.98460,7.98460,7.98460,7.98460
1994-11-08,7.98460,7.98460,7.98460,7.98460
1994-11-09,7.98460,7.98460,7.98460,7.98460
1994-11-10,7.98460,7.98460,7.98460,7.98460
1994-11-11,7.98350,7.98350,7.98350,7.98350
1994-11-14,7.98350,7.98350,7.98350,7.98350
1994-11-15,7.98350,7.98350,7.98350,7.98350
1994-11-16,7.98350,7.98350,7.98350,7.98350
1994-11-17,7.98350,7.98350,7.98350,7.98350
1994-11-18,7.98590,7.98590,7.98590,7.98590
1994-11-21,7.98590,7.98590,7.98590,7.98590
1994-11-22,7.98590,7.98590,7.98590,7.98590
1994-11-23,7.98590,7.98590,7.98590,7.98590
1994-11-24,7.98590,7.98590,7.98590,7.98590
1994-11-25,7.98720,7.98720,7.98720,7.98720
1994-11-28,7.98720,7.98720,7.98720,7.98720
1994-11-29,7.98720,7.98720,7.98720,7.98720
1994-11-30,7.98720,7.98720,7.98720,7.98720
1994-12-01,7.98720,7.98720,7.98720,7.98720
1994-12-02,7.98720,7.98720,7.98720,7.98720
1994-12-05,7.98970,7.98970,7.98970,7.98970
1994-12-06,7.98970,7.98970,7.98970,7.98970
1994-12-07,7.98970,7.98970,7.98970,7.98970
1994-12-08,7.98970,7.98970,7.98970,7.98970
1994-12-09,7.99440,7.99440,7.99440,7.99440
1994-12-12,7.99440,7.99440,7.99440,7.99440
1994-12-13,7.99440,7.99440,7.99440,7.99440
1994-12-14,7.99440,7.99440,7.99440,7.99440
1994-12-15,7.99440,7.99440,7.99440,7.99440
1994-12-16,7.99340,7.99340,7.99340,7.99340
1994-12-19,7.99340,7.99340,7.99340,7.99340
1994-12-20,7.99340,7.99340,7.99340,7.99340
1994-12-21,7.99340,7.99340,7.99340,7.99340
1994-12-22,7.99340,7.99340,7.99340,7.99340
1994-12-23,7.99280,7.99280,7.99280,7.99280
1994-12-26,7.99280,7.99280,7.99280,7.99280
1994-12-27,7.99280,7.99280,7.99280,7.99280
1994-12-28,7.99280,7.99280,7.99280,7.99280
1994-12-29,7.99280,7.99280,7.99280,7.99280
1994-12-30,7.99390,7.99390,7.99390,7.99390
1995-01-02,7.99390,7.99390,7.99390,7.99390
1995-01-03,7.99390,7.99390,7.99390,7.99390
1995-01-04,7.99390,7.99390,7.99390,7.99390
1995-01-05,7.99390,7.99390,7.99390,7.99390
1995-01-06,7.99960,7.99960,7.99960,7.99960
1995-01-09,7.99960,7.99960,7.99960,7.99960
1995-01-10,7.99960,7.99960,7.99960,7.99960
1995-01-11,7.99960,7.99960,7.99960,7.99960
1995-01-12,7.99960,7.99960,7.99960,7.99960
1995-01-13,7.99960,7.99960,7.99960,7.99960
1995-01-16,8.0082998,8.0082998,8.0082998,8.0082998
1995-01-17,8.0082998,8.0082998,8.0082998,8.0082998
1995-01-18,8.0082998,8.0082998,8.0082998,8.0082998
1995-01-19,8.0082998,8.0082998,8.0082998,8.0082998
1995-01-20,7.99490,7.99490,7.99490,7.99490
1995-01-23,7.99490,7.99490,7.99490,7.99490
1995-01-24,7.99490,7.99490,7.99490,7.99490
1995-01-25,7.99490,7.99490,7.99490,7.99490
1995-01-26,7.99490,7.99490,7.99490,7.99490
1995-01-27,7.99520,7.99520,7.99520,7.99520
1995-01-30,7.99520,7.99520,7.99520,7.99520
1995-01-31,7.99520,7.99520,7.99520,7.99520
1995-02-01,7.99520,7.99520,7.99520,7.99520
1995-02-02,7.99520,7.99520,7.99520,7.99520
1995-02-03,7.98770,7.98770,7.98770,7.98770
1995-02-06,7.98770,7.98770,7.98770,7.98770
1995-02-07,7.98770,7.98770,7.98770,7.98770
1995-02-08,7.98770,7.98770,7.98770,7.98770
1995-02-09,7.98770,7.98770,7.98770,7.98770
1995-02-10,7.98770,7.98770,7.98770,7.98770
1995-02-13,7.98770,7.98770,7.98770,7.98770
1995-02-14,7.98770,7.98770,7.98770,7.98770
1995-02-15,7.98770,7.98770,7.98770,7.98770
1995-02-16,7.98770,7.98770,7.98770,7.98770
1995-02-17,7.98770,7.98770,7.98770,7.98770
1995-02-20,7.98770,7.98770,7.98770,7.98770
1995-02-21,7.98770,7.98770,7.98770,7.98770
1995-02-22,7.98770,7.98770,7.98770,7.98770
1995-02-23,7.98770,7.98770,7.98770,7.98770
1995-02-24,7.98770,7.98770,7.98770,7.98770
1995-02-27,7.98770,7.98770,7.98770,7.98770
1995-02-28,7.98770,7.98770,7.98770,7.98770
1995-03-01,7.98770,7.98770,7.98770,7.98770
1995-03-02,7.98770,7.98770,7.98770,7.98770
1995-03-03,7.98770,7.98770,7.98770,7.98770
1995-03-06,7.98770,7.98770,7.98770,7.98770
1995-03-07,7.98770,7.98770,7.98770,7.98770
1995-03-08,7.98770,7.98770,7.98770,7.98770
1995-03-09,7.98770,7.98770,7.98770,7.98770
1995-03-10,7.98770,7.98770,7.98770,7.98770
1995-03-13,7.98770,7.98770,7.98770,7.98770
1995-03-14,7.98770,7.98770,7.98770,7.98770
1995-03-15,7.98770,7.98770,7.98770,7.98770
1995-03-16,7.98770,7.98770,7.98770,7.98770
1995-03-17,7.98770,7.98770,7.98770,7.98770
1995-03-20,7.98770,7.98770,7.98770,7.98770
1995-03-21,7.98770,7.98770,7.98770,7.98770
1995-03-22,7.98770,7.98770,7.98770,7.98770
1995-03-23,7.98770,7.98770,7.98770,7.98770
1995-03-24,7.98770,7.98770,7.98770,7.98770
1995-03-27,7.98770,7.98770,7.98770,7.98770
1995-03-28,7.98770,7.98770,7.98770,7.98770
1995-03-29,7.98770,7.98770,7.98770,7.98770
1995-03-30,7.98770,7.98770,7.98770,7.98770
1995-03-31,7.98820,7.98820,7.98820,7.98820
1995-04-03,7.98820,7.98820,7.98820,7.98820
1995-04-04,7.98820,7.98820,7.98820,7.98820
1995-04-05,7.98820,7.98820,7.98820,7.98820
1995-04-06,7.98820,7.98820,7.98820,7.98820
1995-04-07,7.98750,7.98750,7.98750,7.98750
1995-04-10,7.98750,7.98750,7.98750,7.98750
1995-04-11,7.98750,7.98750,7.98750,7.98750
1995-04-12,7.98750,7.98750,7.98750,7.98750
1995-04-13,7.98750,7.98750,7.98750,7.98750
1995-04-14,7.98750,7.98750,7.98750,7.98750
1995-04-17,7.98750,7.98750,7.98750,7.98750
1995-04-18,7.98750,7.98750,7.98750,7.98750
1995-04-19,7.98750,7.98750,7.98750,7.98750
1995-04-20,7.98750,7.98750,7.98750,7.98750
1995-04-21,7.98750,7.98750,7.98750,7.98750
1995-04-24,7.98750,7.98750,7.98750,7.98750
1995-04-25,7.98750,7.98750,7.98750,7.98750
1995-04-26,7.98750,7.98750,7.98750,7.98750
1995-04-27,7.98750,7.98750,7.98750,7.98750
1995-04-28,7.98800,7.98800,7.98800,7.98800
1995-05-01,7.98800,7.98800,7.98800,7.98800
1995-05-02,7.98800,7.98800,7.98800,7.98800
1995-05-03,7.98800,7.98800,7.98800,7.98800
1995-05-04,7.98800,7.98800,7.98800,7.98800
1995-05-05,7.98920,7.98920,7.98920,7.98920
1995-05-08,7.98920,7.98920,7.98920,7.98920
1995-05-09,7.98920,7.98920,7.98920,7.98920
1995-05-10,7.98920,7.98920,7.98920,7.98920
1995-05-11,7.98920,7.98920,7.98920,7.98920
1995-05-12,7.98920,7.98920,7.98920,7.98920
1995-05-15,7.98920,7.98920,7.98920,7.98920
1995-05-16,7.98920,7.98920,7.98920,7.98920
1995-05-17,7.98920,7.98920,7.98920,7.98920
1995-05-18,7.98920,7.98920,7.98920,7.98920
1995-05-19,7.98870,7.98870,7.98870,7.98870
1995-05-22,7.98870,7.98870,7.98870,7.98870
1995-05-23,7.98870,7.98870,7.98870,7.98870
1995-05-24,7.98870,7.98870,7.98870,7.98870
1995-05-25,7.98870,7.98870,7.98870,7.98870
1995-05-26,7.98870,7.98870,7.98870,7.98870
1995-05-29,7.98870,7.98870,7.98870,7.98870
1995-05-30,7.98870,7.98870,7.98870,7.98870
