datetime,open,high,low,close
1979-12-24,2.17900,2.17900,2.17900,2.17900
1979-12-26,2.17900,2.17900,2.17900,2.17900
1979-12-27,2.16650,2.16650,2.16650,2.16650
1979-12-28,2.16200,2.16200,2.16200,2.16200
1979-12-31,2.18800,2.18800,2.18800,2.18800
1980-01-02,2.17700,2.17700,2.17700,2.17700
1980-01-03,2.17250,2.17250,2.17250,2.17250
1980-01-04,2.17550,2.17550,2.17550,2.17550
1980-01-07,2.17100,2.17100,2.17100,2.17100
1980-01-08,2.17350,2.17350,2.17350,2.17350
1980-01-09,2.17500,2.17500,2.17500,2.17500
1980-01-10,2.17750,2.17750,2.17750,2.17750
1980-01-11,2.18200,2.18200,2.18200,2.18200
1980-01-14,2.17800,2.17800,2.17800,2.17800
1980-01-15,2.18300,2.18300,2.18300,2.18300
1980-01-16,2.17500,2.17500,2.17500,2.17500
1980-01-17,2.18000,2.18000,2.18000,2.18000
1980-01-18,2.18000,2.18000,2.18000,2.18000
1980-01-21,2.18100,2.18100,2.18100,2.18100
1980-01-22,2.18250,2.18250,2.18250,2.18250
1980-01-23,2.18500,2.18500,2.18500,2.18500
1980-01-24,2.18550,2.18550,2.18550,2.18550
1980-01-25,2.18700,2.18700,2.18700,2.18700
1980-01-28,2.19000,2.19000,2.19000,2.19000
1980-01-29,2.18600,2.18600,2.18600,2.18600
1980-01-30,2.18300,2.18300,2.18300,2.18300
1980-01-31,2.18400,2.18400,2.18400,2.18400
1980-02-01,2.18500,2.18500,2.18500,2.18500
1980-02-04,2.18400,2.18400,2.18400,2.18400
1980-02-05,2.18100,2.18100,2.18100,2.18100
1980-02-06,2.17700,2.17700,2.17700,2.17700
1980-02-07,2.17550,2.17550,2.17550,2.17550
1980-02-08,2.17450,2.17450,2.17450,2.17450
1980-02-11,2.17150,2.17150,2.17150,2.17150
1980-02-13,2.17300,2.17300,2.17300,2.17300
1980-02-14,2.17150,2.17150,2.17150,2.17150
1980-02-15,2.17250,2.17250,2.17250,2.17250
1980-02-19,2.18300,2.18300,2.18300,2.18300
1980-02-20,2.17850,2.17850,2.17850,2.17850
1980-02-21,2.17800,2.17800,2.17800,2.17800
1980-02-22,2.18000,2.18000,2.18000,2.18000
1980-02-25,2.18500,2.18500,2.18500,2.18500
1980-02-26,2.18400,2.18400,2.18400,2.18400
1980-02-27,2.18050,2.18050,2.18050,2.18050
1980-02-28,2.17850,2.17850,2.17850,2.17850
1980-02-29,2.18550,2.18550,2.18550,2.18550
1980-03-03,2.1875,2.1875,2.1875,2.1875
1980-03-04,2.18850,2.18850,2.18850,2.18850
1980-03-05,2.19100,2.19100,2.19100,2.19100
1980-03-06,2.19700,2.19700,2.19700,2.19700
1980-03-07,2.19480,2.19480,2.19480,2.19480
1980-03-10,2.20200,2.20200,2.20200,2.20200
1980-03-11,2.20650,2.20650,2.20650,2.20650
1980-03-12,2.20500,2.20500,2.20500,2.20500
1980-03-13,2.21050,2.21050,2.21050,2.21050
