datetime,open,high,low,close
2003-12-01,6.28250,6.28250,6.28250,6.28250
2003-12-02,6.26540,6.26540,6.26540,6.26540
2003-12-03,6.086800,6.086800,6.086800,6.086800
2003-12-04,6.066100,6.066100,6.066100,6.066100
2003-12-05,6.25360,6.25360,6.25360,6.25360
2003-12-08,6.23490,6.23490,6.23490,6.23490
2003-12-09,6.28690,6.28690,6.28690,6.28690
2003-12-10,6.30900,6.30900,6.30900,6.30900
2003-12-11,6.35760,6.35760,6.35760,6.35760
2003-12-12,6.28550,6.28550,6.28550,6.28550
2003-12-15,6.28250,6.28250,6.28250,6.28250
2003-12-16,6.17670,6.17670,6.17670,6.17670
2003-12-17,6.34240,6.34240,6.34240,6.34240
2003-12-18,6.53950,6.53950,6.53950,6.53950
2003-12-19,6.53730,6.53730,6.53730,6.53730
2003-12-22,6.75650,6.75650,6.75650,6.75650
2003-12-23,6.77280,6.77280,6.77280,6.77280
2003-12-29,6.62560,6.62560,6.62560,6.62560
2003-12-30,6.45570,6.45570,6.45570,6.45570
2003-12-31,6.47880,6.47880,6.47880,6.47880
2004-01-02,6.59710,6.59710,6.59450,6.59450
2004-01-05,6.30740,6.30740,6.30740,6.30740
2004-01-06,6.32640,6.32640,6.32640,6.32640
2004-01-07,6.47270,6.47270,6.47270,6.47270
2004-01-08,6.61430,6.61430,6.61430,6.61430
2004-01-09,6.69200,6.69200,6.69200,6.69200
2004-01-12,6.56220,6.56220,6.56220,6.56220
2004-01-13,6.91200,6.91200,6.91200,6.91200
2004-01-14,7.067800,7.067800,7.067800,7.067800
2004-01-15,7.061400,7.061400,7.061400,7.061400
2004-01-16,7.24740,7.24740,7.24740,7.24740
2004-01-19,7.15530,7.15530,7.15530,7.15530
2004-01-20,7.14090,7.14090,7.14090,7.14090
2004-01-21,6.97670,6.97890,6.97670,6.97890
2004-01-22,6.97590,6.97590,6.97590,6.97590
2004-01-23,7.0016999,7.0016999,7.0016999,7.0016999
2004-01-26,7.14030,7.14030,7.14030,7.14030
2004-01-27,7.041400,7.041400,7.041400,7.041400
2004-01-28,6.89150,6.89150,6.89150,6.89150
2004-01-29,6.84030,6.84030,6.84030,6.84030
2004-01-30,6.89240,6.89240,6.89240,6.89240
2004-02-02,6.90760,6.90760,6.90760,6.90760
2004-02-03,6.82620,6.82620,6.82620,6.82620
2004-02-04,6.82620,6.82620,6.82620,6.82620
2004-02-05,6.75430,6.75430,6.75430,6.75430
2004-02-06,6.94750,6.94750,6.94750,6.94750
2004-02-09,6.87380,6.90530,6.87380,6.90530
2004-02-10,6.74780,6.74780,6.74780,6.74780
