datetime,open,high,low,close
1979-12-24,1.019900,1.019900,1.019900,1.019900
1979-12-27,1.017300,1.017300,1.017300,1.017300
1979-12-28,1.015200,1.015200,1.015200,1.015200
1979-12-31,1.017300,1.017300,1.017300,1.017300
1980-01-02,1.015200,1.015200,1.015200,1.015200
1980-01-03,1.012100,1.012100,1.012100,1.012100
1980-01-04,1.014200,1.014200,1.014200,1.014200
1980-01-07,1.010100,1.010100,1.010100,1.010100
1980-01-08,1.0096000,1.0096000,1.0096000,1.0096000
1980-01-09,1.0091000,1.0091000,1.0091000,1.0091000
1980-01-10,1.011100,1.011100,1.011100,1.011100
1980-01-11,1.010100,1.010100,1.010100,1.010100
1980-01-14,1.012100,1.012100,1.012100,1.012100
1980-01-15,1.013200,1.013200,1.013200,1.013200
1980-01-16,1.013400,1.013400,1.013400,1.013400
1980-01-17,1.013200,1.013200,1.013200,1.013200
1980-01-18,1.013200,1.013200,1.013200,1.013200
1980-01-21,1.012100,1.012100,1.012100,1.012100
1980-01-22,1.013200,1.013200,1.013200,1.013200
1980-01-23,1.013200,1.013200,1.013200,1.013200
1980-01-24,1.013700,1.013700,1.013700,1.013700
1980-01-25,1.012700,1.012700,1.012700,1.012700
1980-01-28,1.017300,1.017300,1.017300,1.017300
1980-01-29,1.018300,1.018300,1.018300,1.018300
1980-01-30,1.018300,1.018300,1.018300,1.018300
1980-01-31,1.016800,1.016800,1.016800,1.016800
1980-02-01,1.018300,1.018300,1.018300,1.018300
1980-02-04,1.017800,1.017800,1.017800,1.017800
1980-02-05,1.015200,1.015200,1.015200,1.015200
1980-02-06,1.013400,1.013400,1.013400,1.013400
1980-02-07,1.011600,1.011600,1.011600,1.011600
1980-02-08,1.014700,1.014700,1.014700,1.014700
1980-02-11,1.014200,1.014200,1.014200,1.014200
1980-02-12,1.014200,1.014200,1.014200,1.014200
1980-02-13,1.017800,1.017800,1.017800,1.017800
1980-02-14,1.016600,1.016600,1.016600,1.016600
1980-02-15,1.017800,1.017800,1.017800,1.017800
1980-02-18,1.017800,1.017800,1.017800,1.017800
1980-02-19,1.022000,1.022000,1.022000,1.022000
1980-02-20,1.025600,1.025600,1.025600,1.025600
1980-02-21,1.023500,1.023500,1.023500,1.023500
1980-02-22,1.025600,1.025600,1.025600,1.025600
1980-02-25,1.027700,1.027700,1.027700,1.027700
1980-02-26,1.027700,1.027700,1.027700,1.027700
1980-02-27,1.028300,1.028300,1.028300,1.028300
1980-02-28,1.027200,1.027200,1.027200,1.027200
1980-02-29,1.030900,1.030900,1.030900,1.030900
1980-03-03,1.032000,1.032000,1.032000,1.032000
1980-03-04,1.033600,1.033600,1.033600,1.033600
1980-03-05,1.034100,1.034100,1.034100,1.034100
1980-03-06,1.038400,1.038400,1.038400,1.038400
1980-03-07,1.039500,1.039500,1.039500,1.039500
1980-03-10,1.040000,1.040000,1.040000,1.040000
1980-03-11,1.040600,1.040600,1.040600,1.040600
1980-03-12,1.037900,1.037900,1.037900,1.037900
1980-03-13,1.041700,1.041700,1.041700,1.041700
1980-03-14,1.044900,1.044900,1.044900,1.044900
1980-03-17,1.053200,1.053200,1.053200,1.053200
1980-03-18,1.056000,1.056000,1.056000,1.056000
1980-03-19,1.053700,1.053700,1.053700,1.053700
1980-03-20,1.052600,1.052600,1.052600,1.052600
1980-03-21,1.053700,1.053700,1.053700,1.053700
1980-03-24,1.057600,1.057600,1.057600,1.057600
