datetime,open,high,low,close
2001-05-31,3.62300,3.62300,3.62300,3.62300
2001-06-01,3.62300,3.62300,3.62300,3.62300
2001-06-04,3.62300,3.62300,3.62300,3.62300
2001-06-05,3.62300,3.62300,3.62300,3.62300
2001-06-06,3.62300,3.62300,3.62300,3.62300
2001-06-07,3.62300,3.62300,3.62300,3.62300
2001-06-08,3.62300,3.62300,3.62300,3.62300
2001-06-11,3.62300,3.62300,3.62300,3.62300
2001-06-12,3.62300,3.62300,3.62300,3.62300
2001-06-13,3.62300,3.62300,3.62300,3.62300
2001-06-14,3.62300,3.62300,3.62300,3.62300
2001-06-15,3.62300,3.62300,3.62300,3.62300
2001-06-18,3.62300,3.62300,3.62300,3.62300
2001-06-19,3.62300,3.62300,3.62300,3.62300
2001-06-20,3.62300,3.62300,3.62300,3.62300
2001-06-21,3.62300,3.62300,3.62300,3.62300
2001-06-22,3.62300,3.62300,3.62300,3.62300
2001-06-25,3.62300,3.62300,3.62300,3.62300
2001-06-26,3.62300,3.62300,3.62300,3.62300
2001-06-27,3.62300,3.62300,3.62300,3.62300
2001-06-28,3.62300,3.62300,3.62300,3.62300
2001-06-29,3.62300,3.62300,3.62300,3.62300
2001-07-02,3.62300,3.62300,3.62300,3.62300
2001-07-03,3.62300,3.62300,3.62300,3.62300
2001-07-04,3.62300,3.62300,3.62300,3.62300
2001-07-05,3.62300,3.62300,3.62300,3.62300
2001-07-06,3.62300,3.62300,3.62300,3.62300
2001-07-09,3.62300,3.62300,3.62300,3.62300
2001-07-10,3.62300,3.62300,3.62300,3.62300
2001-07-11,3.62300,3.62300,3.62300,3.62300
2001-07-12,3.51750,3.51750,3.51600,3.51600
2001-07-13,3.51100,3.51100,3.50800,3.50950
2001-07-16,3.50700,3.50700,3.50400,3.50550
2001-07-17,3.50700,3.50700,3.50500,3.50600
2001-07-18,3.49800,3.49800,3.49400,3.49600
2001-07-19,3.49650,3.49650,3.49450,3.49550
2001-07-20,3.49300,3.49300,3.49100,3.49200
2001-07-23,3.49200,3.49200,3.49000,3.49100
2001-07-24,3.49770,3.49770,3.49480,3.49625
2001-07-25,3.49600,3.49600,3.49450,3.49525
2001-07-26,3.48950,3.48950,3.48700,3.48825
2001-07-27,3.48500,3.48500,3.48300,3.48400
2001-07-30,3.48950,3.48950,3.48900,3.48900
2001-07-31,3.48700,3.48700,3.48600,3.48650
2001-08-01,3.49300,3.49300,3.49000,3.49150
2001-08-02,3.50100,3.50100,3.49900,3.5
2001-08-03,3.49700,3.49700,3.49550,3.49625
2001-08-06,3.50100,3.50100,3.49900,3.5
2001-08-07,3.50350,3.50350,3.50300,3.50325
2001-08-08,3.49700,3.49700,3.49500,3.49600
2001-08-09,3.49200,3.49200,3.49000,3.49100
2001-08-10,3.49200,3.49200,3.49100,3.49150
