datetime,open,high,low,close
2003-12-01,3.16960,3.16960,3.16960,3.16960
2003-12-02,3.16470,3.16470,3.16470,3.16470
2003-12-03,3.19030,3.19030,3.19030,3.19030
2003-12-04,3.18840,3.18840,3.18840,3.18840
2003-12-05,3.18980,3.18980,3.18980,3.18980
2003-12-08,3.19050,3.19050,3.19050,3.19050
2003-12-09,3.19240,3.19240,3.19240,3.19240
2003-12-10,3.19130,3.19130,3.19130,3.19130
2003-12-11,3.18990,3.18990,3.18990,3.18990
2003-12-12,3.19170,3.19170,3.19170,3.19170
2003-12-15,3.19040,3.19040,3.19040,3.19040
2003-12-16,3.18980,3.18980,3.18980,3.18980
2003-12-17,3.24970,3.24970,3.24970,3.24970
2003-12-18,3.17900,3.17900,3.17900,3.17900
2003-12-19,3.17270,3.17270,3.17270,3.17270
2003-12-22,3.20310,3.20310,3.20310,3.20310
2003-12-23,3.20390,3.20390,3.20390,3.20390
2003-12-29,3.20460,3.20460,3.20460,3.20460
2003-12-30,3.17780,3.17780,3.17780,3.17780
2003-12-31,3.14710,3.14710,3.14710,3.14710
2004-01-02,3.17880,3.17880,3.17760,3.17760
2004-01-05,3.17800,3.17800,3.17800,3.17800
2004-01-06,3.17070,3.17070,3.17070,3.17070
2004-01-07,3.16300,3.16300,3.16300,3.16300
2004-01-08,3.15710,3.15710,3.15710,3.15710
2004-01-09,3.16600,3.16600,3.16600,3.16600
2004-01-12,3.16460,3.16460,3.16460,3.16460
2004-01-13,3.21050,3.21050,3.21050,3.21050
2004-01-14,3.16120,3.16120,3.16120,3.16120
2004-01-15,3.16080,3.16080,3.16080,3.16080
2004-01-16,3.16610,3.16610,3.16610,3.16610
2004-01-19,3.15700,3.15700,3.15700,3.15700
2004-01-20,3.15510,3.15510,3.15510,3.15510
2004-01-21,3.15810,3.15870,3.15810,3.15870
2004-01-22,3.16270,3.16270,3.16270,3.16270
2004-01-23,3.10430,3.10430,3.10430,3.10430
2004-01-26,3.15260,3.15260,3.15260,3.15260
2004-01-27,3.15300,3.15300,3.15300,3.15300
2004-01-28,3.16310,3.16310,3.16310,3.16310
2004-01-29,3.11110,3.11110,3.11110,3.11110
2004-01-30,3.10380,3.10380,3.10380,3.10380
2004-02-02,3.14630,3.14630,3.14630,3.14630
2004-02-03,3.19390,3.19390,3.19390,3.19390
2004-02-04,3.19390,3.19390,3.19390,3.19390
2004-02-05,3.16000,3.16000,3.16000,3.16000
2004-02-06,3.14000,3.14000,3.14000,3.14000
2004-02-09,3.15250,3.16690,3.15250,3.16690
2004-02-10,3.089300,3.089300,3.089300,3.089300
2004-02-11,3.087400,3.087400,3.087400,3.087400
2004-02-12,3.089800,3.089800,3.089800,3.089800
2004-02-13,3.090400,3.090400,3.090400,3.090400
2004-02-16,3.089900,3.089900,3.089900,3.089900
2004-02-17,3.12760,3.12760,3.12760,3.12760
2004-02-18,3.12300,3.12300,3.12300,3.12300
2004-02-19,3.13630,3.13630,3.13630,3.13630
2004-02-20,3.083300,3.083300,3.083300,3.083300
2004-02-23,3.13490,3.13490,3.13490,3.13490
2004-02-24,3.12640,3.12640,3.12640,3.12640
2004-02-25,3.10280,3.10280,3.10280,3.10280
2004-02-26,3.037400,3.037400,3.037400,3.037400
2004-02-27,3.072200,3.072200,3.072200,3.072200
2004-03-01,3.13550,3.13550,3.13550,3.13550
2004-03-02,3.084700,3.084700,3.084700,3.084700
2004-03-03,3.15970,3.15970,3.15970,3.15970
2004-03-04,3.036000,3.036000,3.036000,3.036000
2004-03-05,3.13290,3.13290,3.13290,3.13290
2004-03-08,3.12090,3.12090,3.12090,3.12090
2004-03-09,3.11700,3.11700,3.11700,3.11700
2004-03-10,3.11700,3.13550,3.11700,3.13550
2004-03-11,3.084400,3.084400,3.084400,3.084400
2004-03-12,3.18340,3.18340,3.18340,3.18340
2004-03-15,3.078600,3.078600,3.078600,3.078600
2004-03-16,3.13760,3.13760,3.13760,3.13760
2004-03-17,3.076200,3.076200,3.076200,3.076200
2004-03-18,3.078900,3.078900,3.078900,3.078900
2004-03-19,3.078100,3.078100,3.078100,3.078100
2004-03-22,3.076100,3.076100,3.076100,3.076100
2004-03-23,3.10680,3.10680,3.10680,3.10680
2004-03-24,3.046400,3.046400,3.046400,3.046400
2004-03-25,3.042400,3.042400,3.042400,3.042400
2004-03-26,3.12470,3.12470,3.12470,3.12470
2004-03-29,3.098300,3.098300,3.098300,3.098300
2004-03-30,3.019400,3.019400,3.019400,3.019400
2004-03-31,3.035700,3.035700,3.035700,3.035700
2004-04-01,3.098500,3.098500,3.098500,3.098500
2004-04-02,3.099100,3.099100,3.099100,3.099100
2004-04-05,3.16050,3.16050,3.16050,3.16050
2004-04-06,3.13690,3.13690,3.13690,3.13690
2004-04-07,3.092200,3.092200,3.092200,3.092200
2004-04-08,3.13780,3.13780,3.13780,3.13780
2004-04-13,3.091100,3.091100,3.091100,3.091100
2004-04-14,3.088700,3.088700,3.088700,3.088700
2004-04-15,3.093100,3.093100,3.093100,3.093100
2004-04-16,3.071800,3.071800,3.071800,3.071800
2004-04-19,3.11440,3.11440,3.11440,3.11440
2004-04-20,3.071800,3.10970,3.071800,3.10970
2004-04-21,3.10230,3.10230,3.10230,3.10230
2004-04-22,3.091900,3.091900,3.091900,3.091900
2004-04-23,3.10600,3.10600,3.10600,3.10600
2004-04-26,3.10460,3.10460,3.10460,3.10460
2004-04-27,3.097700,3.097700,3.097700,3.097700
2004-04-28,3.092500,3.092500,3.092500,3.092500
2004-04-29,3.083400,3.083400,3.083400,3.083400
2004-04-30,3.091200,3.091200,3.080700,3.080700
2004-05-03,3.088400,3.088400,3.088400,3.088400
2004-05-04,3.099200,3.099200,3.099200,3.099200
2004-05-05,3.10590,3.10590,3.10590,3.10590
2004-05-06,3.10200,3.10200,3.10200,3.10200
2004-05-07,3.090000,3.090000,3.090000,3.090000
2004-05-10,3.026800,3.026800,3.026800,3.026800
2004-05-11,3.10180,3.10180,3.10180,3.10180
2004-05-12,3.067200,3.067200,3.067200,3.067200
2004-05-13,3.097300,3.097300,3.097300,3.097300
2004-05-14,3.10260,3.10260,3.10260,3.10260
