datetime,open,high,low,close
2002-04-01,60.15400,60.18000,59.85000,60.15500
2003-01-02,58.27650,58.32000,58.25,58.27500
2003-04-21,57.81100,57.83000,57.77000,57.81500
2003-12-01,57,57,57,57
2003-12-02,55.15900,57,55.15900,57
2003-12-03,55.25100,57,55.25100,57
2003-12-04,55.24500,57,55.24500,57
2003-12-05,55.26000,57,55.26000,57
2003-12-08,55.21700,57,55.21700,57
2003-12-09,55.28600,57,55.28600,57
2003-12-10,55.18100,57,55.18100,57
2003-12-11,55.17900,57,55.17900,57
2003-12-12,57.20000,57.20000,57.20000,57.20000
2003-12-15,57.20000,57.20000,57.20000,57.20000
2003-12-16,55.18300,57.20000,55.18300,57.20000
2003-12-17,55.48000,57.20000,55.48000,57.20000
2003-12-18,55.27600,57.20000,55.27600,57.20000
2003-12-19,55.17300,57.20000,55.17300,57.20000
2003-12-22,55.25300,57.20000,55.25300,57.20000
2003-12-23,55.44400,57.20000,55.44400,57.20000
2003-12-24,57,57,57,57
2003-12-25,57,57,57,57
2003-12-26,57,57,57,57
2003-12-29,57.30000,57.30000,57.30000,57.30000
2003-12-30,55.32900,57.30000,55.32900,57.30000
2003-12-31,54.79700,57.30000,54.79700,57.30000
2004-01-01,57.30000,57.30000,57.30000,57.30000
2004-01-02,55.43700,57.099998,55.43700,57.099998
2004-01-05,55.41600,57.099998,55.41600,57.099998
2004-01-06,55.25900,57.099998,55.25900,57.099998
2004-01-07,57.35000,57.35000,57.35000,57.35000
2004-01-08,55.33600,57.35000,55.33600,57.35000
2004-01-09,55.32500,57.35000,55.32500,57.35000
2004-01-12,57.35000,57.35000,57.35000,57.35000
2004-01-13,55.48600,57.35000,55.48600,57.35000
2004-01-14,55.44000,57.35000,55.44000,57.35000
2004-01-15,55.39200,57.35000,55.39200,57.35000
2004-01-16,55.48200,57.35000,55.48200,57.35000
2004-01-19,57.30000,57.30000,57.30000,57.30000
2004-01-20,55.14500,57.30000,55.14500,57.30000
2004-01-21,55.29700,57.30000,55.29700,57.30000
2004-01-22,55.30300,57.30000,55.30300,57.30000
2004-01-23,55.45800,57.30000,55.45800,57.30000
2004-01-26,57.30000,57.30000,57.30000,57.30000
2004-01-27,57.20000,57.20000,57.20000,57.20000
2004-01-28,55.23400,57.20000,55.23400,57.20000
2004-01-29,55.24100,57.20000,55.24100,57.20000
2004-01-30,55.15200,57.20000,55.15200,57.20000
2004-02-02,55.32800,57.20000,55.32800,57.20000
2004-02-03,56.90000,56.90000,55.25900,55.25900
2004-02-04,55.25900,56.90000,55.25900,56.90000
2004-02-05,55.20800,56.90000,55.20800,56.90000
2004-02-06,55.42700,56.90000,55.42700,56.90000
2004-02-09,57.20000,57.20000,55.56400,57.20000
2004-02-10,55.26100,57.20000,55.26100,57.20000
2004-02-11,55.26800,57,55.26800,57
2004-02-12,55.30800,57,55.30800,57
2004-02-13,55.28700,57,55.28700,57
2004-02-16,55.34700,57,55.34700,57
2004-02-17,55.41100,57,55.41100,57
2004-02-18,55.41700,57,55.41700,57
2004-02-19,57.18000,57.18000,57.18000,57.18000
2004-02-20,57.24000,57.24000,55.62200,55.62200
2004-02-23,55.31300,57.24000,55.31300,57.24000
2004-02-24,55.29700,57.24000,55.29700,57.24000
2004-02-25,55.375,57.24000,55.375,57.24000
2004-02-26,57.27000,57.27000,57.27000,57.27000
2004-02-27,57.32000,57.32000,57.32000,57.32000
2004-03-01,57.32000,57.32000,57.32000,57.32000
2004-03-02,57.20000,57.20000,57.20000,57.20000
2004-03-03,55.32900,57.20000,55.32900,57.20000
2004-03-04,55.30300,57.20000,55.30300,57.20000
2004-03-05,55.32600,55.32600,55.32600,55.32600
2004-03-08,57.20000,57.20000,57.20000,57.20000
2004-03-09,55.20800,57.20000,55.20800,57.20000
2004-03-10,55.20800,57.20000,55.20800,57.20000
2004-03-11,55.19100,57.20000,55.19100,57.20000
2004-03-12,57.25,57.25,57.25,57.25
2004-03-15,57.40000,57.40000,55.24400,57.40000
2004-03-16,55.41100,57.40000,55.41100,57.40000
2004-03-17,55.40100,57.40000,55.40100,57.40000
2004-03-18,55.32400,57.40000,55.32400,57.40000
2004-03-19,55.28400,57.40000,55.28400,57.40000
2004-03-22,55.26100,57.20000,55.26100,57.20000
2004-03-23,55.37700,57.20000,55.37700,57.20000
2004-03-24,57.35000,57.35000,55.43900,57.35000
2004-03-25,55.15400,57.35000,55.15400,57.35000
2004-03-26,55.20500,57.35000,55.20500,57.35000
2004-03-29,55.28000,57.35000,55.28000,57.35000
2004-03-30,55.49600,57.35000,55.49600,57.35000
2004-03-31,55.40700,57.080002,55.40700,57.080002
2004-04-01,55.41300,57.080002,55.41300,57.080002
2004-04-02,55.35300,57.080002,55.35300,57.080002
2004-04-05,57.30000,57.30000,55.35600,57.25
2004-04-06,55.20500,57.25,55.20500,57.25
2004-04-07,55.23800,57.25,55.23800,57.25
2004-04-08,55.31600,57.25,55.31600,57.25
2004-04-09,57.25,57.25,57.25,57.25
2004-04-13,57.25,57.25,55.20300,57.25
2004-04-14,55.19500,57.25,55.19500,57.25
2004-04-15,57.35000,57.38000,57.35000,57.38000
2004-04-16,55.16500,57.38000,55.16500,57.38000
2004-04-19,57.20000,57.20000,55.20400,57.20000
2004-04-20,55.16500,57.20000,55.16500,57.20000
2004-04-21,55.33700,57.35000,55.33700,57.35000
2004-04-22,55.22500,57.35000,55.22500,57.35000
2004-04-23,55.30600,57.35000,55.30600,57.35000
2004-04-26,57.44000,57.44000,55.25300,57.44000
2004-04-27,57.45000,57.45000,55.31100,57.45000
2004-04-28,57.46000,57.48000,55.22400,57.48000
2004-04-29,57.41000,57.41000,55.33800,57.41000
2004-04-30,57.43000,57.43000,55.10300,57.43000
2004-05-03,55.18400,57.43000,55.18400,57.43000
2004-05-04,55.24900,57.43000,55.24900,57.43000
2004-05-05,57.47000,57.47000,55.29900,57.47000
2004-05-06,57.51000,57.51000,55.59400,57.51000
2004-05-07,55.46600,55.46600,55.46600,55.46600
2004-05-10,55.31300,57.51000,55.31300,57.51000
2004-05-11,55.40900,57.25,55.40900,57.25
2004-05-12,55.57700,57.25,55.57700,57.25
2004-05-13,55.57300,57.25,55.57300,57.25
2004-05-14,57.68000,57.68000,55.56600,57.68000
2004-05-17,57.55000,57.55000,55.67500,57.55000
2004-05-18,55.66300,57.55000,55.66300,57.55000
2004-05-19,55.62100,57.55000,55.62100,57.55000
2004-05-20,57.55000,57.55000,57.55000,57.55000
2004-05-21,55.67200,57.55000,55.67200,57.55000
2004-05-24,55.57100,57.55000,55.57100,57.55000
2004-05-25,57.65000,57.65000,55.57500,57.65000
2004-05-26,55.50100,57.65000,55.50100,57.65000
2004-05-27,55.61200,57.65000,55.61200,57.65000
2004-05-28,55.65800,57.65000,55.65800,57.65000
2004-05-31,57.65000,57.65000,57.65000,57.65000
2004-06-01,57.69000,57.69000,55.67100,57.69000
2004-06-02,55.70300,57.69000,55.70300,57.69000
2004-06-03,57.73000,57.73000,55.73400,57.73000
2004-06-04,55.77800,57.73000,55.77800,57.73000
2004-06-07,55.79800,57.5,55.79800,57.5
2004-06-08,55.75700,56.020000,55.75700,56.020000
2004-06-09,57.65000,57.65000,55.73200,57.65000
2004-06-10,55.72100,57.65000,55.72100,57.65000
2004-06-11,55.90900,57.65000,55.70900,57.65000
2004-06-14,55.86800,57.65000,55.80700,57.65000
2004-06-15,55.52300,57.75,55.52300,57.75
2004-06-16,57.80000,57.80000,55.82100,57.80000
2004-06-17,55.85000,57.80000,55.85000,57.80000
2004-06-18,56.13600,57.85000,55.85100,57.85000
2004-06-21,55.34700,57.94000,55.34700,57.94000
2004-06-22,55.93400,57.94000,55.93400,57.94000
2004-06-23,55.68800,57.94000,55.60100,57.94000
2004-06-24,56.096001,58,56.015999,58
2004-06-25,56.0089989,58,56.0089989,58
2004-06-28,55.90300,58,55.90300,58
2004-06-29,56.14500,58,56.087002,58
2004-06-30,56.42100,58,56.084999,58
2004-07-01,56.00099945,58,56.00099945,58
2004-07-02,56.068001,58,56.068001,58
2004-07-05,55.30400,57.73000,55.30400,57.73000
2004-07-06,58.099998,58.099998,55.96300,58.099998
2004-07-07,55.83600,58.099998,55.83600,58.099998
2004-07-08,56.041000,58.099998,56.041000,58.099998
2004-07-09,55.80600,58.25,55.80600,58.25
2004-07-12,56.023998,58.30000,56.023998,58.30000
2004-07-13,58.18000,58.18000,56.17800,58.18000
2004-07-14,56.17400,58.18000,56.17400,58.18000
2004-07-15,56.15400,58.18000,56.077000,58.18000
2004-07-16,56.18000,58.18000,56.18000,58.18000
2004-07-19,58.18000,58.18000,56.28200,58.18000
2004-07-20,56.26000,58.18000,56.26000,58.18000
2004-07-21,56.19900,58.18000,56.19900,58.18000
2004-07-22,58.24000,58.24000,56.20000,58.24000
2004-07-23,56.25100,58.24000,56.25100,58.24000
2004-07-26,56.50900,58.30000,56.28400,58.30000
2004-07-27,56.23000,58.30000,56.23000,58.30000
2004-07-28,56.77800,56.77800,56.073002,56.073002
2004-07-29,56.22200,58.30000,56.22200,58.30000
2004-07-30,56.33600,58.30000,56.33600,58.30000
2004-08-02,56.36300,58.30000,56.36300,58.30000
2004-08-03,58.5,58.5,56.60500,58.5
2004-08-04,56.77900,58.5,56.77900,58.5
2004-08-05,56.81900,58.5,56.81900,58.5
2004-08-06,56.71300,58.30000,56.71300,58.30000
2004-08-09,56.81800,58.30000,56.81800,58.30000
2004-08-10,58.75,58.75,58.75,58.75
2004-08-11,56.86100,58.75,56.86100,58.75
2004-08-12,58.65000,58.65000,56.72300,58.65000
2004-08-13,56.91500,56.91500,56.72100,56.72100
2004-08-16,58.65000,58.65000,56.79100,58.65000
2004-08-17,56.81500,58.65000,56.81500,58.65000
2004-08-18,58.81000,58.81000,56.76900,58.79000
2004-08-19,56.74100,58.79000,56.74100,58.79000
2004-08-20,58.60000,58.60000,56.72700,58.60000
2004-08-23,58.73000,58.73000,56.67000,58.73000
2004-08-24,57.19700,58.70000,56.65200,58.70000
2004-08-25,58.64000,58.64000,56.56300,58.64000
2004-08-26,58.67000,58.67000,56.59900,58.67000
2004-08-27,56.59400,58.67000,56.59400,58.67000
2004-08-30,56.60300,58.67000,56.60300,58.67000
2004-08-31,58.72000,58.72000,56.63300,58.72000
2004-09-01,58.75,58.75,56.73200,58.75
2004-09-02,58.77000,58.77000,56.64600,58.77000
2004-09-03,56.73900,58.77000,56.73900,58.77000
2004-09-06,57.28000,58.78000,56.76800,58.78000
2004-09-07,58.83000,58.83000,56.78000,58.83000
2004-09-08,56.92900,58.84000,56.78600,58.84000
2004-09-09,58.85000,58.85000,56.77000,58.85000
2004-09-10,56.84200,58.85000,56.84200,58.85000
2004-09-13,56.90100,58.85000,56.90100,58.85000
2004-09-14,56.79300,58.85000,56.79300,58.85000
2004-09-15,56.80800,58.85000,56.80800,58.85000
2004-09-16,57.20300,58.85000,56.90100,58.85000
2004-09-17,56.91100,58.85000,56.91100,58.85000
2004-09-20,56.92600,58.85000,56.92600,58.85000
2004-09-21,57.054001,58.85000,57.054001,58.85000
2004-09-22,57.11000,58.85000,57.11000,58.85000
2004-09-23,59.099998,59.099998,57.16600,59.099998
2004-09-24,57.10700,59.099998,57.10700,59.099998
2004-09-27,59.099998,59.099998,57.12000,59.099998
2004-09-28,56.94100,59.099998,56.94100,59.099998
2004-09-29,57.13900,59.099998,57.13900,59.099998
2004-09-30,57.054001,59.099998,57.054001,59.099998
2004-10-01,56.77900,59.099998,56.77900,59.099998
2004-10-04,57.26600,59.099998,57.26600,59.099998
2004-10-05,57.24400,59.099998,57.24400,59.099998
2004-10-06,57.081001,59.30000,57.081001,59.30000
2004-10-07,57.36500,59.30000,57.36500,59.30000
2004-10-08,57.33700,59.30000,57.33700,59.30000
2004-10-11,57.38900,59.30000,57.38900,59.30000
2004-10-12,57.51200,59.30000,57.45200,59.30000
2004-10-13,57.48400,59.30000,57.48400,59.30000
2004-10-14,59.5,59.5,57.64800,59.5
2004-10-15,57.65600,59.5,57.65600,59.5
2004-10-18,59.70000,59.70000,58.020000,59.70000
2004-10-19,58.23400,59.70000,58.23400,59.70000
2004-10-20,60.40000,60.46000,58.58200,60.40000
2004-10-21,60,60.12000,58.45600,60
2004-10-22,58.45100,60.17000,58.27400,59.90000
2004-10-25,61.18000,61.18000,59.22000,61.080002
2004-10-26,60.70000,61.080002,59.098999,60.70000
2004-10-27,59.12100,61.15000,59.12100,60.70000
2004-10-28,61.099998,61.27500,60.70000,61.075001
2004-10-29,59.15300,61.049999,58.80800,61.049999
2004-11-01,59.19800,60.92000,58.84200,60.76000
2004-11-02,58.87900,60.60000,58.54600,60.45000
2004-11-03,58.62900,60.45000,58.62900,60.45000
2004-11-04,58.36200,60.45000,58.36200,60.45000
2004-11-05,58.29100,60.45000,58.29100,60.45000
2004-11-08,57.73200,60.45000,57.73200,60.45000
2004-11-09,59.58000,59.62000,57.64100,59.5
2004-11-10,59.56000,59.64000,57.65800,59.56000
2004-11-11,59.59000,59.60000,57.68700,59.59000
2004-11-12,59.48000,59.54000,57.63300,59.48000
2004-11-15,59.53000,59.53000,57.65900,59.53000
2004-11-16,57.68400,59.55000,57.58300,59.53000
2004-11-17,57.54900,59.36000,57.54900,59.25
2004-11-18,57.74400,59.65000,57.74400,59.25
2004-11-19,57.85600,59.52000,57.85600,59.25
2004-11-22,59.60000,59.75,57.80500,59.71000
2004-11-23,58.044998,59.55000,58.044998,59.40000
2004-11-24,59.78000,59.78000,57.91100,59.78000
2004-11-25,57.79900,57.95800,57.79900,57.95800
2004-11-26,59.78000,59.80000,57.99300,59.78000
2004-11-29,59.65000,59.75,57.89400,59.65000
2004-11-30,57.87600,59.65000,57.80900,59.65000
