datetime,open,high,low,close
2007-12-19,2,2,2,2
2007-12-20,1.99530,1.99530,1.99360,1.99360
2007-12-21,1.99090,1.99200,1.99090,1.99200
2007-12-24,1.99090,1.99090,1.99090,1.99090
2007-12-25,1.99010,1.99010,1.99010,1.99010
2007-12-27,2.0046000,2.0046000,2.0046000,2.0046000
2007-12-28,1.99290,2.0037000,1.99290,2.0033000
2007-12-31,2.0043001,2.021000,2.0043001,2.021000
2008-01-01,2.021100,2.021100,2.021100,2.021100
2008-01-02,2.013700,2.013700,2.013700,2.013700
2008-01-03,2.014700,2.020300,2.014700,2.020300
2008-01-04,2.020600,2.020600,2.020600,2.020600
2008-01-07,2.013500,2.013500,2.013500,2.013500
2008-01-08,2.013700,2.017600,2.013700,2.017600
2008-01-09,2.016000,2.016000,2.015100,2.015100
2008-01-10,2.013100,2.013100,2.013100,2.013100
2008-01-11,1.99190,2.016100,1.99190,2.016100
2008-01-14,2.016600,2.021300,2.016600,2.021300
2008-01-15,2.019700,2.019700,2.015800,2.015800
2008-01-16,2.013300,2.013300,2.010200,2.010200
2008-01-17,2.0072999,2.0072999,1.99490,1.99490
2008-01-18,1.99670,1.99670,1.99670,1.99670
2008-01-21,2.014800,2.022700,2.014800,2.022700
2008-01-22,2.024600,2.024600,2.024600,2.024600
2008-01-23,1.99650,2.034700,1.99650,2.034700
2008-01-24,2.037600,2.037600,2.037600,2.037600
2008-01-25,2.030200,2.030200,2.029700,2.029700
2008-01-28,2.019600,2.019600,2.019600,2.019600
2008-01-29,2.013100,2.021800,2.013100,2.021800
2008-01-30,2.022000,2.022000,2.013400,2.013400
2008-01-31,2.015600,2.015600,2.0077000,2.0077000
2008-02-01,2.0058999,2.0058999,2.0058999,2.0058999
2008-02-04,2.0019000,2.0019000,2.0019000,2.0019000
2008-02-05,2.0028999,2.0091000,2.0028999,2.0091000
2008-02-06,2.010200,2.010200,2.0051000,2.0051000
2008-02-07,2.0053999,2.023700,2.0053999,2.023700
2008-02-08,2.024400,2.024400,2.019700,2.019700
2008-02-11,2.0079000,2.024500,2.0079000,2.024500
2008-02-12,2.026200,2.026200,2.026200,2.026200
2008-02-13,1.96420,1.97140,1.96420,1.97140
2008-02-14,1.97190,1.97190,1.97190,1.97190
2008-02-15,1.96550,1.98470,1.96550,1.98470
2008-02-18,1.98090,1.98090,1.98090,1.98090
2008-02-19,1.97680,1.98250,1.97680,1.98250
2008-02-20,1.98250,1.98250,1.98250,1.98250
2008-02-21,1.97420,1.97420,1.97420,1.97420
2008-02-22,1.96980,1.98180,1.96980,1.98180
2008-02-25,1.96760,1.96760,1.96760,1.96760
2008-02-26,1.96490,1.96490,1.96490,1.96490
2008-02-27,1.97740,1.97740,1.97740,1.97740
2008-02-28,1.97000,1.97000,1.97000,1.97000
2008-02-29,1.96690,1.98060,1.96690,1.98060
2008-03-03,1.97370,1.98050,1.97370,1.98050
2008-03-04,1.98090,1.98400,1.98090,1.98400
2008-03-05,1.98450,1.98450,1.98450,1.98450
2008-03-06,1.97110,1.98280,1.97110,1.98280
2008-03-07,1.97560,1.98270,1.97560,1.98270
2008-03-10,1.98280,1.98280,1.98280,1.98280
2008-03-11,1.98380,2,1.98380,2
2008-03-12,1.99820,1.99820,1.99820,1.99820
2008-03-13,1.97290,2,1.97290,2
2008-03-14,1.99690,1.99690,1.99690,1.99690
2008-03-17,1.99450,1.99450,1.99450,1.99450
2008-03-18,1.99890,1.99890,1.99440,1.99440
2008-03-19,2.012800,2.012800,1.99200,2.0011001
2008-03-20,2.0088999,2.0088999,1.99330,1.99380
2008-03-21,1.99820,1.99820,1.99600,1.99600
2008-03-24,2.0056000,2.0056000,2.0056000,2.0056000
2008-03-25,1.99190,1.99190,1.99190,1.99190
2008-03-26,1.98440,1.98690,1.98440,1.98690
2008-03-27,1.98810,1.99650,1.98810,1.99640
2008-03-28,2,2.0076001,2,2.0076001
2008-03-31,1.99890,2.0057001,1.99890,2.0057001
2008-04-02,2.0013001,2.0013001,2.0013001,2.0013001
2008-04-03,1.99460,1.99460,1.99460,1.99460
2008-04-04,1.98470,1.99750,1.98470,1.99750
2008-04-07,1.99830,1.99830,1.99830,1.99830
2008-04-08,1.98730,2.0030999,1.98730,2.0030999
2008-04-09,2,2,2,2
2008-04-10,1.98450,2.015400,1.98450,2.015400
2008-04-11,2.013000,2.013000,1.99770,1.99770
2008-04-14,1.99660,1.99660,1.99660,1.99660
2008-04-15,1.99700,2.0044000,1.99700,2.0044000
2008-04-16,2.0026000,2.0026000,2.0026000,2.0026000
2008-04-17,2.0011001,2.0032001,2.0011001,2.0032001
2008-04-18,2.0037999,2.0037999,1.99220,1.99220
2008-04-21,1.99280,1.99280,1.99280,1.99280
2008-04-22,1.99050,1.99050,1.99050,1.99050
2008-04-23,1.98330,1.98790,1.98330,1.98790
2008-04-24,1.99820,1.99820,1.99650,1.99650
2008-04-25,1.99630,1.99630,1.99600,1.99600
2008-04-28,1.99820,2,1.99820,2
2008-04-29,2,2,2,2
2008-04-30,1.99830,1.99830,1.99830,1.99830
2008-05-02,2.0090001,2.011700,2.0090001,2.011700
2008-05-05,2.0041001,2.0041001,2.0041001,2.0041001
2008-05-06,2,2.0092001,2,2.0060000
2008-05-07,2.010700,2.013900,2.010700,2.013900
2008-05-08,2.022200,2.022200,2.0028999,2.0028999
2008-05-09,2.0023000,2.010500,2.0023000,2.010500
2008-05-12,2,2,2,2
2008-05-13,2.020600,2.020800,2.020600,2.020800
2008-05-14,2.021000,2.021000,2.021000,2.021000
2008-05-15,2.0076001,2.019800,2.0076001,2.019800
2008-05-16,2.017200,2.017200,2.017200,2.017200
2008-05-19,2.012800,2.020000,2.012800,2.020000
2008-05-20,2.019800,2.019800,2.019800,2.019800
2008-05-21,2.0023999,2.0023999,2.0023999,2.0023999
2008-05-22,2,2.0072999,2,2.0072999
2008-05-23,2.0081000,2.0081000,2.0081000,2.0081000
2008-05-26,1.99090,1.99090,1.99090,1.99090
2008-05-27,1.98600,2,1.98600,2
2008-05-28,2,2,1.99420,1.99420
2008-05-29,1.99390,1.99860,1.99390,1.99860
2008-05-30,1.99850,2.0050001,1.99850,2.0050001
2008-06-02,2,2.0057001,1.99890,2.0044999
2008-06-03,2.0049000,2.033000,2.0049000,2.033000
2008-06-04,2.032500,2.032500,2.013000,2.013000
2008-06-05,2.012300,2.012300,2.012300,2.012300
2008-06-06,1.98800,2.023500,1.98800,2.023500
2008-06-09,2.024100,2.042900,2.024100,2.042900
