datetime,open,high,low,close
1988-03-01,5.98580,5.99370,5.98080,5.98580
1988-03-02,5.99660,6.019500,5.98450,5.99660
1988-03-03,6.014500,6.016600,6.0023999,6.014500
1988-03-04,5.99530,6.017900,5.99450,5.99530
1988-03-07,5.94700,6.0012002,5.94530,5.94700
1988-03-08,5.88110,5.95160,5.88110,5.88110
1988-03-09,5.91150,5.93320,5.90940,5.91150
1988-03-10,5.92070,5.92900,5.91690,5.92070
1988-03-11,5.91070,5.92280,5.90070,5.91070
1988-03-14,5.90940,5.91730,5.89400,5.90940
1988-03-15,5.92190,5.92950,5.91280,5.92190
1988-03-16,5.94150,5.94650,5.92610,5.94150
1988-03-17,5.98200,5.98200,5.93950,5.98200
1988-03-18,5.98370,5.98870,5.97320,5.98370
1988-03-21,5.97450,5.97990,5.96570,5.97450
1988-03-22,5.97660,5.98240,5.95950,5.97660
1988-03-23,5.96370,5.98080,5.95950,5.96370
1988-03-24,5.92780,5.95780,5.92780,5.92780
1988-03-25,5.91980,5.93740,5.91980,5.91980
1988-03-28,5.88270,5.90940,5.88110,5.88270
1988-03-29,5.87350,5.90150,5.87350,5.87350
1988-03-30,5.89650,5.90860,5.89230,5.89650
1988-03-31,5.86440,5.89230,5.86440,5.86440
1988-04-04,5.84750,5.84900,5.84750,5.84750
1988-04-05,5.89110,5.89570,5.86560,5.89110
1988-04-06,5.88360,5.90150,5.88360,5.88360
1988-04-07,5.91730,5.92820,5.90820,5.91730
1988-04-08,5.90150,5.91280,5.89360,5.90150
1988-04-11,5.93450,5.94030,5.90780,5.93450
1988-04-12,5.93360,5.93780,5.92530,5.93360
1988-04-13,5.93700,5.95780,5.93240,5.93700
1988-04-14,5.86730,5.94950,5.86440,5.86730
1988-04-15,5.85480,5.87770,5.85350,5.85480
1988-04-18,5.83940,5.85810,5.83940,5.83940
1988-04-19,5.85480,5.85690,5.84140,5.85480
1988-04-20,5.84980,5.84980,5.84060,5.84980
1988-04-21,5.84350,5.86560,5.84060,5.84350
1988-04-22,5.86560,5.87350,5.85140,5.86560
1988-04-25,5.87560,5.88610,5.86850,5.87560
1988-04-26,5.87860,5.87860,5.85980,5.87860
1988-04-27,5.87480,5.88820,5.87060,5.87480
1988-04-28,5.85520,5.87190,5.85520,5.85520
1988-04-29,5.87350,5.87350,5.84770,5.87350
1988-05-02,5.87980,5.89570,5.87690,5.87980
1988-05-03,5.87310,5.88570,5.86850,5.87310
1988-05-04,5.87860,5.89570,5.87560,5.87860
1988-05-05,5.87650,5.87980,5.86900,5.87650
1988-05-06,5.88570,5.89570,5.87650,5.88570
1988-05-09,5.87860,5.89060,5.87480,5.87860
1988-05-10,5.86520,5.87860,5.85980,5.86520
1988-05-11,5.85980,5.86940,5.85810,5.85980
1988-05-12,5.87230,5.87310,5.86770,5.87230
1988-05-13,5.87230,5.87610,5.86440,5.87230
1988-05-16,5.88110,5.88290,5.87010,5.88110
1988-05-17,5.92960,5.93060,5.87470,5.92960
1988-05-18,5.92780,5.93060,5.92050,5.92780
1988-05-19,5.90950,5.91870,5.90860,5.90950
1988-05-20,5.91680,5.92320,5.91040,5.91680
1988-05-23,5.90950,5.91230,5.90680,5.90950
1988-05-24,5.90950,5.90950,5.90040,5.90950
1988-05-25,5.91770,5.91960,5.90580,5.91770
1988-05-26,5.92230,5.93150,5.91770,5.92230
1988-05-27,5.94430,5.94430,5.92320,5.94430
1988-05-30,5.96440,5.97450,5.94520,5.96440
1988-05-31,5.98180,5.98180,5.95620,5.98180
1988-06-01,5.99920,6.0047002,5.97630,5.99920
1988-06-02,6.029400,6.050500,6.0064998,6.029400
1988-06-03,6.025800,6.036800,6.010200,6.025800
1988-06-06,6.0029001,6.027600,6.0019999,6.0029001
1988-06-07,5.98640,6.00010014,5.98090,5.98640
1988-06-08,5.99460,5.99460,5.96260,5.99460
1988-06-09,5.99560,6.0064998,5.98820,5.99560
1988-06-10,5.99010,5.99830,5.97540,5.99010
1988-06-13,6.019400,6.021200,5.99920,6.019400
1988-06-14,6.070600,6.070600,6.0084000,6.070600
1988-06-15,6.078000,6.085300,6.067000,6.078000
1988-06-16,6.078900,6.078900,6.056900,6.078900
1988-06-17,6.084400,6.084400,6.067000,6.084400
1988-06-20,6.098100,6.098100,6.072500,6.098100
1988-06-21,6.091700,6.10090,6.087100,6.091700
1988-06-22,6.15210,6.15210,6.089000,6.15210
1988-06-23,6.17960,6.19240,6.13930,6.17960
1988-06-24,6.19970,6.20800,6.17500,6.19970
1988-06-27,6.25650,6.29040,6.24920,6.25650
1988-06-28,6.21990,6.25650,6.19420,6.21990
1988-06-29,6.26660,6.27660,6.24920,6.26660
1988-06-30,6.26930,6.28670,6.22630,6.26930
1988-07-01,6.28120,6.29580,6.26840,6.28120
1988-07-04,6.31690,6.32060,6.29580,6.31690
1988-07-05,6.29040,6.30780,6.28030,6.29040
1988-07-06,6.27750,6.28580,6.25920,6.27750
1988-07-07,6.25470,6.27110,6.24920,6.25470
1988-07-08,6.30230,6.30410,6.26750,6.30230
1988-07-11,6.34070,6.35080,6.31140,6.34070
1988-07-12,6.32330,6.33890,6.31970,6.32330
1988-07-13,6.33980,6.34990,6.31420,6.33980
1988-07-14,6.35080,6.35350,6.33890,6.35080
1988-07-15,6.42490,6.43960,6.35540,6.42490
1988-07-18,6.44690,6.47710,6.43140,6.44690
1988-07-19,6.39560,6.42220,6.38100,6.39560
1988-07-20,6.36090,6.37640,6.34070,6.36090
1988-07-21,6.32970,6.38470,6.31970,6.32970
1988-07-22,6.29490,6.33060,6.27750,6.29490
1988-07-25,6.33800,6.33800,6.27570,6.33800
1988-07-26,6.38190,6.38470,6.34250,6.38190
1988-07-27,6.33340,6.41760,6.33340,6.33340
1988-07-28,6.37280,6.37920,6.33980,6.37280
1988-07-29,6.40850,6.43230,6.37370,6.40850
1988-08-01,6.43320,6.43870,6.41400,6.43320
1988-08-02,6.42770,6.43230,6.38470,6.42770
1988-08-03,6.43320,6.45150,6.42490,6.43320
1988-08-04,6.43690,6.44690,6.42310,6.43690
1988-08-05,6.47070,6.47160,6.43590,6.47070
1988-08-08,6.49730,6.50190,6.47620,6.49730
1988-08-09,6.52930,6.53940,6.47440,6.52930
1988-08-10,6.54490,6.56780,6.52930,6.54490
1988-08-11,6.49820,6.52840,6.48540,6.49820
1988-08-12,6.45060,6.47440,6.44690,6.45060
1988-08-15,6.46800,6.47990,6.43500,6.46800
1988-08-16,6.43230,6.49000,6.40660,6.43230
1988-08-17,6.51740,6.51920,6.47160,6.51740
1988-08-18,6.49000,6.53110,6.47160,6.49000
1988-08-19,6.48170,6.49730,6.46980,6.48170
1988-08-22,6.54950,6.55590,6.51190,6.54950
1988-08-23,6.52020,6.53660,6.50550,6.52020
1988-08-24,6.50460,6.54580,6.48810,6.50460
1988-08-25,6.43230,6.48260,6.42950,6.43230
1988-08-26,6.42950,6.44690,6.41400,6.42950
1988-08-29,6.45420,6.46340,6.43960,6.45420
1988-08-30,6.45240,6.46710,6.45240,6.45240
1988-08-31,6.47990,6.49180,6.45520,6.47990
1988-09-01,6.48720,6.49540,6.46800,6.48720
1988-09-02,6.45420,6.49180,6.45240,6.45420
1988-09-05,6.43690,6.44140,6.42130,6.43690
1988-09-06,6.39930,6.43870,6.39470,6.39930
1988-09-07,6.39930,6.40570,6.38280,6.39930
1988-09-08,6.41030,6.42130,6.39930,6.41030
1988-09-09,6.40660,6.41850,6.39470,6.40660
1988-09-12,6.40300,6.42310,6.39380,6.40300
1988-09-13,6.40940,6.40940,6.38920,6.40940
1988-09-14,6.47160,6.47530,6.40660,6.47160
1988-09-15,6.46800,6.47530,6.45700,6.46800
1988-09-16,6.47690,6.48560,6.45500,6.47690
1988-09-19,6.42900,6.46090,6.40970,6.42900
1988-09-20,6.41370,6.42170,6.40900,6.41370
1988-09-21,6.43100,6.44230,6.41040,6.43100
1988-09-22,6.44700,6.45500,6.43230,6.44700
1988-09-23,6.43970,6.45830,6.43900,6.43970
1988-09-26,6.46360,6.48560,6.44500,6.46360
1988-09-27,6.44170,6.46960,6.44030,6.44170
1988-09-28,6.43830,6.44900,6.43170,6.43830
1988-09-29,6.44170,6.45430,6.43570,6.44170
1988-09-30,6.40900,6.44500,6.40900,6.40900
1988-10-03,6.38380,6.41170,6.37980,6.38380
1988-10-04,6.38640,6.38780,6.36850,6.38640
1988-10-05,6.39170,6.39840,6.37580,6.39170
1988-10-06,6.38780,6.39770,6.36910,6.38780
1988-10-07,6.37450,6.39440,6.36450,6.37450
1988-10-10,6.35250,6.37180,6.34920,6.35250
1988-10-11,6.33850,6.35450,6.32790,6.33850
1988-10-12,6.28990,6.34980,6.28590,6.28990
1988-10-13,6.23670,6.29130,6.22810,6.23670
1988-10-14,6.25330,6.26400,6.22740,6.25330
1988-10-17,6.22540,6.23670,6.21010,6.22540
1988-10-18,6.21610,6.25330,6.21410,6.21610
1988-10-19,6.23200,6.23670,6.21810,6.23200
1988-10-20,6.20870,6.23140,6.20610,6.20870
1988-10-21,6.16880,6.20410,6.16750,6.16880
1988-10-24,6.19410,6.20680,6.17220,6.19410
1988-10-25,6.21010,6.23200,6.20410,6.21010
1988-10-26,6.18010,6.22740,6.17880,6.18010
1988-10-27,6.18350,6.19740,6.15680,6.18350
1988-10-28,6.17080,6.19540,6.16480,6.17080
1988-10-31,6.16880,6.17610,6.13890,6.16880
1988-11-01,6.17080,6.19810,6.16950,6.17080
1988-11-02,6.15150,6.18080,6.13750,6.15150
1988-11-03,6.16550,6.16880,6.14490,6.16550
1988-11-04,6.19540,6.21080,6.16150,6.19540
1988-11-07,6.16750,6.20680,6.16150,6.16750
1988-11-08,6.18680,6.19340,6.15420,6.18680
1988-11-09,6.12290,6.21410,6.10830,6.12290
1988-11-10,6.10090,6.12690,6.098300,6.10090
1988-11-11,6.049700,6.10300,6.049000,6.049700
1988-11-14,6.081000,6.091000,6.049700,6.081000
1988-11-15,6.067700,6.080300,6.065000,6.067700
1988-11-16,6.011800,6.081000,6.0057998,6.011800
1988-11-17,6.031700,6.065700,6.0018001,6.031700
1988-11-18,6.063700,6.086300,6.035700,6.063700
1988-11-21,6.028400,6.065000,6.027800,6.028400
