datetime,open,high,low,close
2003-12-01,2537.60010,2537.60010,2537.60010,2537.60010
2003-12-02,2534.10010,2534.10010,2534.10010,2534.10010
2003-12-03,2537.5,2537.5,2537.5,2537.5
2003-12-04,2536.19995,2536.19995,2536.19995,2536.19995
2003-12-05,2537,2537,2537,2537
2003-12-08,2537.5,2537.5,2537.5,2537.5
2003-12-09,2538.89990,2538.89990,2538.89990,2538.89990
2003-12-10,2538.30005,2538.30005,2538.30005,2538.30005
2003-12-11,2537.10010,2537.10010,2537.10010,2537.10010
2003-12-12,2538.39990,2538.39990,2538.39990,2538.39990
2003-12-15,2537.69995,2537.69995,2537.69995,2537.69995
2003-12-16,2537,2537,2537,2537
2003-12-17,2540.39990,2540.39990,2540.39990,2540.39990
2003-12-18,2541.69995,2541.69995,2541.69995,2541.69995
2003-12-19,2536.39990,2536.39990,2536.39990,2536.39990
2003-12-22,2539.10010,2539.10010,2539.10010,2539.10010
2003-12-23,2539.60010,2539.60010,2539.60010,2539.60010
2003-12-29,2540.10010,2540.10010,2540.10010,2540.10010
2003-12-30,2540,2540,2540,2540
2003-12-31,2515.60010,2515.60010,2515.60010,2515.60010
2004-01-02,2541,2541,2541,2541
2004-01-05,2540.80005,2540.80005,2540.80005,2540.80005
2004-01-06,2538.69995,2538.69995,2538.69995,2538.69995
2004-01-07,2539.80005,2539.80005,2539.80005,2539.80005
2004-01-08,2535.69995,2535.69995,2535.69995,2535.69995
2004-01-09,2541.89990,2541.89990,2541.89990,2541.89990
2004-01-12,2541,2541,2541,2541
2004-01-13,2540.39990,2540.39990,2540.39990,2540.39990
2004-01-14,2540.10010,2540.10010,2540.10010,2540.10010
2004-01-15,2539.89990,2539.89990,2539.89990,2539.89990
2004-01-16,2543.80005,2543.80005,2543.80005,2543.80005
2004-01-19,2536,2536,2536,2536
2004-01-20,2535,2535,2535,2535
2004-01-21,2537,2537.80005,2537,2537.80005
2004-01-22,2541.19995,2541.19995,2541.19995,2541.19995
2004-01-23,2544.30005,2544.30005,2544.30005,2544.30005
2004-01-26,2541.5,2541.5,2541.5,2541.5
2004-01-27,2537.80005,2537.80005,2537.80005,2537.80005
2004-01-28,2541.39990,2541.39990,2541.39990,2541.39990
2004-01-29,2540.60010,2540.60010,2540.60010,2540.60010
2004-01-30,2536.80005,2536.80005,2536.80005,2536.80005
2004-02-02,2536.30005,2536.30005,2536.30005,2536.30005
2004-02-03,2540.30005,2540.30005,2540.30005,2540.30005
2004-02-04,2540.30005,2540.30005,2540.30005,2540.30005
2004-02-05,2538.80005,2538.80005,2538.80005,2538.80005
2004-02-06,2539.80005,2539.80005,2539.80005,2539.80005
