datetime,open,high,low,close
2025-12-04,38.57033,38.70656,38.54163,38.59722
2025-12-05,38.59818,38.6782,38.57861,38.67625
2025-12-06,38.6761,38.67762,38.65331,38.67459
2025-12-08,38.60504,38.66045,38.57792,38.62259
2025-12-09,38.62331,38.66131,38.59897,38.65652
2025-12-10,38.65596,38.66714,38.53365,38.56432
2025-12-11,38.56702,38.64081,38.4968,38.51546
2025-12-12,38.51779,38.62578,38.43501,38.47265
2025-12-13,38.47714,38.58879,38.46104,38.48425
2025-12-15,38.57571,38.6972,38.40451,38.65913
2025-12-16,38.65658,38.76033,38.5916,38.73003
2025-12-17,38.72465,38.75082,38.36933,38.56418
2025-12-18,38.56051,38.58924,38.3485,38.47454
2025-12-19,38.47372,38.57409,38.42798,38.50195
2025-12-20,38.49754,38.5087,38.38874,38.49667
2025-12-22,38.54465,38.54971,38.32236,38.46269
2025-12-23,38.45593,38.48863,38.28836,38.32492
2025-12-24,38.32491,38.43386,38.29073,38.35502
2025-12-25,38.38644,38.39999,38.33961,38.34835
2025-12-26,38.34773,38.42827,38.3407,38.42575
2025-12-27,38.42379,38.42558,38.33176,38.34823
2025-12-29,38.33634,38.43023,38.18649,38.21473
2025-12-30,38.21349,38.25829,38.07362,38.09343
2025-12-31,38.09329,38.13721,38.08132,38.09451
2026-01-01,38.09475,38.12431,38.07235,38.09561
2026-01-02,38.09515,38.22351,38.06145,38.10153
