datetime,open,high,low,close
1999-01-29,50,50,50,50
1999-02-01,49,49,49,49
1999-02-02,50,50,50,50
1999-02-03,49,49,49,49
1999-02-04,50,50,50,50
1999-02-05,50,50,50,50
1999-02-08,50,50,50,50
1999-02-09,50,50,50,50
1999-02-10,50,50,50,50
1999-02-11,50,50,50,50
1999-02-12,50,50,50,50
1999-02-15,50,50,50,50
1999-02-16,50,50,50,50
1999-02-17,50,50,50,50
1999-02-18,50,50,50,50
1999-02-19,50,50,50,50
1999-02-22,50,50,50,50
1999-02-23,50,50,50,50
1999-02-24,50,50,50,50
1999-02-25,50,50,50,50
1999-02-26,48,48,48,48
1999-03-01,52.5,52.5,52.5,52.5
1999-03-02,52.5,52.5,52.5,52.5
1999-03-03,50,50,50,50
1999-03-04,50,50,50,50
1999-03-05,52.5,52.5,52.5,52.5
1999-03-08,52.5,52.5,52.5,52.5
1999-03-09,55,55,55,55
1999-03-10,55,55,55,55
1999-03-11,55,55,55,55
1999-03-12,52.5,52.5,52.5,52.5
1999-03-15,50,50,50,50
1999-03-16,50,50,50,50
1999-03-17,52.5,52.5,52.5,52.5
1999-03-18,50,50,50,50
1999-03-19,52.5,52.5,52.5,52.5
1999-03-22,52.5,52.5,52.5,52.5
1999-03-23,52.5,52.5,52.5,52.5
1999-03-24,55,55,55,55
1999-03-25,52.5,52.5,52.5,52.5
1999-03-26,52.5,52.5,52.5,52.5
1999-03-29,52.5,52.5,52.5,52.5
1999-03-30,55,55,55,55
1999-03-31,52.5,52.5,52.5,52.5
1999-04-01,55,55,55,55
1999-04-02,55,55,55,55
1999-04-05,55,55,55,55
1999-04-06,52.5,52.5,52.5,52.5
1999-04-07,52.5,52.5,52.5,52.5
1999-04-08,55,55,55,55
1999-04-09,55,55,55,55
1999-04-12,52.5,52.5,52.5,52.5
1999-04-13,55,55,55,55
1999-04-14,55,55,55,55
1999-04-15,52.5,52.5,52.5,52.5
1999-04-16,52.5,52.5,52.5,52.5
1999-04-19,55,55,55,55
1999-04-20,55,55,55,55
1999-04-21,52.5,52.5,52.5,52.5
1999-04-22,55,55,55,55
1999-04-23,52.5,52.5,52.5,52.5
1999-04-26,52.5,52.5,52.5,52.5
1999-04-27,52.5,52.5,52.5,52.5
1999-04-28,52.5,52.5,52.5,52.5
1999-04-29,52.5,52.5,52.5,52.5
1999-04-30,52.5,52.5,52.5,52.5
1999-05-03,52.5,52.5,52.5,52.5
1999-05-04,52.5,52.5,52.5,52.5
1999-05-05,55,55,55,55
1999-05-06,55,55,55,55
1999-05-07,52.5,52.5,52.5,52.5
