datetime,open,high,low,close
2003-12-01,1.23370,1.36250,1.23370,1.36250
2003-12-02,1.21850,1.36250,1.21850,1.36250
2003-12-03,1.22630,1.36250,1.22630,1.36250
2003-12-04,1.22700,1.36250,1.22700,1.36250
2003-12-05,1.22710,1.36250,1.22500,1.36250
2003-12-08,1.22170,1.36250,1.21800,1.36250
2003-12-09,1.21690,1.36250,1.21480,1.36250
2003-12-10,1.22110,1.36250,1.21500,1.36250
2003-12-11,1.22010,1.36250,1.22010,1.36250
2003-12-12,1.22020,1.36250,1.21380,1.36250
2003-12-15,1.22010,1.36250,1.21470,1.36250
2003-12-16,1.21170,1.36250,1.21060,1.36250
2003-12-17,1.21290,1.36250,1.20810,1.36250
2003-12-18,1.21010,1.36250,1.20900,1.36250
2003-12-19,1.20950,1.36250,1.20950,1.36250
2003-12-22,1.21160,1.36250,1.20820,1.36250
2003-12-23,1.21210,1.36250,1.19150,1.36250
2003-12-24,1.36250,1.36250,1.36250,1.36250
2003-12-25,1.36250,1.36250,1.36250,1.36250
2003-12-26,1.36250,1.36250,1.36250,1.36250
2003-12-29,1.20710,1.36250,1.20280,1.36250
2003-12-30,1.20530,1.36250,1.20080,1.36250
2003-12-31,1.36250,1.36250,1.36250,1.36250
2004-01-01,1.36250,1.36250,1.36250,1.36250
2004-01-02,1.20240,1.36250,1.19400,1.36250
2004-01-05,1.19510,1.36250,1.18950,1.36250
2004-01-06,1.19130,1.36250,1.18400,1.36250
2004-01-07,1.18700,1.36250,1.18700,1.36250
2004-01-08,1.19670,1.36250,1.17410,1.36250
2004-01-09,1.18670,1.18910,1.16580,1.18130
2004-01-12,1.18060,1.36250,1.17650,1.36250
2004-01-13,1.18480,1.36250,1.18310,1.36250
2004-01-14,1.18550,1.36250,1.17480,1.36250
2004-01-15,1.19060,1.36250,1.19030,1.36250
2004-01-16,1.19650,1.36250,1.19650,1.36250
2004-01-19,1.20660,1.36250,1.20370,1.36250
2004-01-20,1.21150,1.36250,1.19660,1.36250
2004-01-21,1.20200,1.36250,1.19360,1.36250
2004-01-22,1.20050,1.36250,1.18920,1.36250
2004-01-23,1.19320,1.36250,1.18710,1.36250
2004-01-26,1.20090,1.36250,1.19850,1.36250
2004-01-27,1.20930,1.36250,1.19290,1.36250
2004-01-28,1.19870,1.36250,1.19670,1.36250
2004-01-29,1.21040,1.36250,1.19780,1.36250
2004-01-30,1.21110,1.36250,1.19490,1.36250
2004-02-02,1.21110,1.36250,1.20840,1.36250
2004-02-03,1.36250,1.36250,1.20240,1.20430
2004-02-04,1.20430,1.36250,1.20240,1.36250
2004-02-05,1.20700,1.36250,1.19750,1.36250
2004-02-06,1.20550,1.36250,1.18550,1.36250
2004-02-09,1.19160,1.36250,1.19080,1.36250
2004-02-10,1.19500,1.36250,1.18870,1.36250
2004-02-11,1.19270,1.36250,1.18150,1.36250
2004-02-12,1.17910,1.36250,1.17770,1.36250
2004-02-13,1.18700,1.36250,1.18170,1.36250
2004-02-16,1.19370,1.36250,1.18620,1.36250
2004-02-17,1.19070,1.36250,1.17910,1.36250
2004-02-18,1.17750,1.36250,1.17690,1.36250
2004-02-19,1.19050,1.36250,1.18900,1.36250
2004-02-20,1.19370,1.20750,1.19370,1.20670
2004-02-23,1.20700,1.36250,1.20170,1.36250
2004-02-24,1.20720,1.36250,1.19560,1.36250
2004-02-25,1.19970,1.36250,1.19310,1.36250
2004-02-26,1.22070,1.36250,1.21140,1.36250
2004-02-27,1.21360,1.36250,1.21180,1.36250
2004-03-01,1.21310,1.36250,1.20550,1.36250
2004-03-02,1.21570,1.36250,1.21460,1.36250
2004-03-03,1.23130,1.36250,1.23130,1.36250
2004-03-04,1.23660,1.36250,1.22950,1.36250
2004-03-05,1.23320,1.24180,1.21300,1.22360
2004-03-08,1.36250,1.36250,1.22320,1.36250
2004-03-09,1.22180,1.36250,1.21800,1.36250
2004-03-10,1.22180,1.36250,1.21780,1.36250
2004-03-11,1.24030,1.36250,1.23140,1.36250
2004-03-12,1.23500,1.36250,1.23160,1.36250
2004-03-15,1.24150,1.36250,1.23000,1.36250
2004-03-16,1.23180,1.36250,1.22500,1.36250
2004-03-17,1.22800,1.36250,1.22800,1.36250
2004-03-18,1.23380,1.36250,1.21850,1.36250
2004-03-19,1.21910,1.36250,1.21910,1.36250
2004-03-22,1.22990,1.36250,1.21850,1.36250
2004-03-23,1.22370,1.36250,1.22370,1.36250
2004-03-24,1.22500,1.36250,1.22500,1.36250
2004-03-25,1.23560,1.36250,1.22950,1.36250
2004-03-26,1.23600,1.36250,1.23290,1.36250
2004-03-29,1.24200,1.36250,1.23330,1.36250
2004-03-30,1.23480,1.36250,1.22650,1.36250
2004-03-31,1.23360,1.36250,1.22310,1.36250
