datetime,open,high,low,close
2002-04-01,5.32406,5.32900,5.31800,5.32400
2003-01-02,5.33400,5.38000,5.33150,5.36500
2003-04-21,5.33415,5.33550,5.33100,5.33400
2003-12-01,5.30720,5.30720,5.30720,5.30720
2003-12-02,5.28580,5.28580,5.28580,5.28580
2003-12-03,5.18890,5.18890,5.18890,5.18890
2003-12-04,5.18530,5.18530,5.18530,5.18530
2003-12-05,5.18790,5.18790,5.18790,5.18790
2003-12-08,5.18720,5.18720,5.18720,5.18720
2003-12-09,5.19230,5.19230,5.19230,5.19230
2003-12-10,5.19060,5.19060,5.19060,5.19060
2003-12-11,5.19710,5.19710,5.19710,5.19710
2003-12-12,5.19340,5.19340,5.19340,5.19340
2003-12-15,5.19120,5.19120,5.19120,5.19120
2003-12-16,5.18760,5.18760,5.18760,5.18760
2003-12-17,5.19430,5.19430,5.19430,5.19430
2003-12-18,5.19570,5.19570,5.19570,5.19570
2003-12-19,5.18710,5.18710,5.18710,5.18710
2003-12-22,5.24660,5.24660,5.24660,5.24660
2003-12-23,5.19040,5.19040,5.19040,5.19040
2003-12-29,5.19270,5.19270,5.19270,5.19270
2003-12-30,5.18940,5.18940,5.18940,5.18940
2003-12-31,5.13920,5.13920,5.13920,5.13920
2004-01-02,5.18990,5.18990,5.18850,5.18850
2004-01-05,5.28260,5.28260,5.28260,5.28260
2004-01-06,5.18360,5.18360,5.18360,5.18360
2004-01-07,5.18740,5.18740,5.18740,5.18740
2004-01-08,5.18230,5.18230,5.18230,5.18230
2004-01-09,5.19590,5.19590,5.19590,5.19590
2004-01-12,5.19330,5.19330,5.19330,5.19330
2004-01-13,5.34210,5.34210,5.34210,5.34210
2004-01-14,5.38050,5.38050,5.38050,5.38050
2004-01-15,5.19190,5.19190,5.19190,5.19190
2004-01-16,5.20070,5.20070,5.20070,5.20070
2004-01-19,5.18380,5.18380,5.18380,5.18380
2004-01-20,5.18510,5.18510,5.18510,5.18510
2004-01-21,5.18530,5.18700,5.18530,5.18700
2004-01-22,5.19410,5.19410,5.19410,5.19410
2004-01-23,5.20020,5.20020,5.20020,5.20020
2004-01-26,5.19510,5.19510,5.19510,5.19510
2004-01-27,5.18770,5.18770,5.18770,5.18770
2004-01-28,5.19470,5.19470,5.19470,5.19470
2004-01-29,5.19400,5.19400,5.19400,5.19400
2004-01-30,5.18610,5.18610,5.18610,5.18610
2004-02-02,5.18510,5.18510,5.18510,5.18510
2004-02-03,5.19210,5.19210,5.19210,5.19210
2004-02-04,5.19210,5.19210,5.19210,5.19210
2004-02-05,5.18520,5.18520,5.18520,5.18520
2004-02-06,5.18620,5.18620,5.18620,5.18620
2004-02-09,5.18870,5.21240,5.18870,5.21240
2004-02-10,5.18920,5.18920,5.18920,5.18920
2004-02-11,5.19060,5.19060,5.19060,5.19060
2004-02-12,5.19420,5.19420,5.19420,5.19420
2004-02-13,5.19360,5.19360,5.19360,5.19360
2004-02-16,5.32810,5.32810,5.32810,5.32810
2004-02-17,5.19600,5.19600,5.19600,5.19600
2004-02-18,5.19340,5.19340,5.19340,5.19340
2004-02-19,5.19410,5.19410,5.19410,5.19410
2004-02-20,5.19080,5.19080,5.19080,5.19080
2004-02-23,5.19480,5.19480,5.19480,5.19480
2004-02-24,5.19210,5.19210,5.19210,5.19210
2004-02-25,5.19560,5.19560,5.19560,5.19560
2004-02-26,5.19220,5.19220,5.19220,5.19220
2004-02-27,5.18920,5.18920,5.18920,5.18920
2004-03-01,5.18970,5.18970,5.18970,5.18970
2004-03-02,5.19320,5.19320,5.19320,5.19320
2004-03-03,5.20340,5.20340,5.20340,5.20340
2004-03-04,5.19890,5.19890,5.19890,5.19890
2004-03-05,5.18900,5.18900,5.18900,5.18900
2004-03-08,5.19470,5.19470,5.19470,5.19470
2004-03-09,5.18300,5.18300,5.18300,5.18300
2004-03-10,5.18300,5.18300,5.17820,5.17820
2004-03-11,5.18520,5.18520,5.18520,5.18520
2004-03-12,5.19020,5.19020,5.19020,5.19020
2004-03-15,5.18640,5.18640,5.18640,5.18640
2004-03-16,5.18880,5.18880,5.18880,5.18880
2004-03-17,5.18660,5.18660,5.18660,5.18660
2004-03-18,5.19060,5.19060,5.19060,5.19060
2004-03-19,5.18510,5.18510,5.18510,5.18510
2004-03-22,5.18330,5.18330,5.18330,5.18330
2004-03-23,5.18400,5.18400,5.18400,5.18400
2004-03-24,5.18400,5.18400,5.18400,5.18400
2004-03-25,5.17740,5.17740,5.17740,5.17740
2004-03-26,5.18090,5.18090,5.18090,5.18090
2004-03-29,5.18740,5.18740,5.18740,5.18740
2004-03-30,5.19000,5.19000,5.19000,5.19000
2004-03-31,5.18510,5.18510,5.18510,5.18510
2004-04-01,5.18960,5.18960,5.18960,5.18960
2004-04-02,5.1875,5.1875,5.1875,5.1875
2004-04-05,5.30020,5.30020,5.30020,5.30020
2004-04-06,5.18270,5.18270,5.18270,5.18270
2004-04-07,5.17540,5.17540,5.17540,5.17540
2004-04-08,5.18070,5.18070,5.18070,5.18070
2004-04-13,5.17690,5.17690,5.17690,5.17690
2004-04-14,5.17800,5.17800,5.17800,5.17800
2004-04-15,5.17570,5.17570,5.17570,5.17570
2004-04-16,5.17460,5.17460,5.17460,5.17460
2004-04-19,5.17720,5.17720,5.17720,5.17720
2004-04-20,5.17460,5.17790,5.17460,5.17790
2004-04-21,5.17520,5.17520,5.17520,5.17520
2004-04-22,5.17600,5.17600,5.17600,5.17600
2004-04-23,5.18090,5.18090,5.18090,5.18090
2004-04-26,5.17270,5.17270,5.17270,5.17270
2004-04-27,5.18420,5.18420,5.18420,5.18420
2004-04-28,5.17540,5.17540,5.17540,5.17540
2004-04-29,5.17590,5.17590,5.17590,5.17590
2004-04-30,5.18090,5.18090,5.16340,5.16340
2004-05-03,5.17560,5.17560,5.17560,5.17560
2004-05-04,5.17710,5.17710,5.17710,5.17710
2004-05-05,5.17910,5.17910,5.17910,5.17910
2004-05-06,5.18970,5.18970,5.18970,5.18970
2004-05-07,5.18040,5.18040,5.18040,5.18040
2004-05-10,5.17740,5.17740,5.17740,5.17740
2004-05-11,5.17170,5.17170,5.17170,5.17170
2004-05-12,5.17560,5.17560,5.17560,5.17560
2004-05-13,5.17400,5.17400,5.17400,5.17400
2004-05-14,5.17940,5.17940,5.17940,5.17940
2004-05-17,5.18040,5.18040,5.18040,5.18040
2004-05-18,5.18170,5.18170,5.18170,5.18170
2004-05-19,5.17780,5.17780,5.17780,5.17780
2004-05-21,5.17580,5.17920,5.17580,5.17920
2004-05-24,5.17270,5.17270,5.17270,5.17270
2004-05-25,5.17220,5.17220,5.17220,5.17220
2004-05-26,5.17140,5.17140,5.17140,5.17140
2004-05-27,5.17420,5.17420,5.17420,5.17420
2004-05-28,5.17650,5.17650,5.17650,5.17650
2004-06-01,5.17670,5.17670,5.17670,5.17670
2004-06-02,5.17670,5.17670,5.17670,5.17670
2004-06-03,5.17390,5.17390,5.17390,5.17390
2004-06-04,5.17480,5.17480,5.17480,5.17480
2004-06-07,5.17700,5.17700,5.17700,5.17700
2004-06-08,5.17300,5.19780,5.17300,5.19780
2004-06-09,5.17110,5.17830,5.17110,5.17830
2004-06-10,5.17500,5.17820,5.17500,5.17820
2004-06-11,5.19180,5.19180,5.16720,5.16720
2004-06-14,5.18120,5.18120,5.17180,5.17180
2004-06-15,5.14500,5.20900,5.14500,5.20900
2004-06-16,5.17450,5.17450,5.17450,5.17450
2004-06-17,5.17440,5.17440,5.17440,5.17440
2004-06-18,5.20110,5.20110,5.17140,5.17140
2004-06-21,5.12480,5.18080,5.12480,5.18080
2004-06-22,5.17400,5.17400,5.17400,5.17400
2004-06-23,5.15120,5.17360,5.15120,5.17360
2004-06-24,5.17920,5.17920,5.17050,5.17050
2004-06-25,5.16840,5.16840,5.16840,5.16840
2004-06-28,5.15820,5.17110,5.15820,5.17110
2004-06-29,5.16730,5.16900,5.16730,5.16900
2004-06-30,5.19950,5.19950,5.17030,5.17030
2004-07-01,5.18120,5.18120,5.18120,5.18120
2004-07-02,5.17310,5.17310,5.17310,5.17310
2004-07-05,5.10260,5.16860,5.10260,5.16860
2004-07-06,5.17130,5.17130,5.17130,5.17130
2004-07-07,5.15930,5.17150,5.15930,5.17150
2004-07-08,5.16990,5.16990,5.16990,5.16990
2004-07-09,5.14740,5.17220,5.14740,5.17220
2004-07-12,5.16850,5.17420,5.16850,5.17420
2004-07-13,5.17100,5.17100,5.17100,5.17100
2004-07-14,5.16980,5.16980,5.16980,5.16980
2004-07-15,5.16960,5.18110,5.16960,5.18110
2004-07-16,5.16950,5.16950,5.16950,5.16950
2004-07-19,5.16340,5.16340,5.16340,5.16340
2004-07-20,5.17980,5.17980,5.17980,5.17980
2004-07-21,5.16490,5.16490,5.16490,5.16490
2004-07-22,5.17580,5.17580,5.17580,5.17580
2004-07-23,5.15780,5.15780,5.15780,5.15780
2004-07-26,5.18070,5.18070,5.16690,5.16690
2004-07-27,5.16240,5.16240,5.16240,5.16240
2004-07-28,5.20690,5.20690,5.15700,5.15700
2004-07-29,5.17340,5.17340,5.17340,5.17340
2004-07-30,5.15960,5.15960,5.15960,5.15960
2004-08-02,5.17130,5.17130,5.17130,5.17130
2004-08-03,5.17330,5.17330,5.17330,5.17330
2004-08-04,5.17100,5.17100,5.17100,5.17100
2004-08-05,5.18240,5.18240,5.18240,5.18240
2004-08-06,5.17320,5.17320,5.16150,5.16150
2004-08-09,5.16130,5.16130,5.16130,5.16130
2004-08-10,5.15770,5.15770,5.15770,5.15770
2004-08-11,5.17860,5.17860,5.17860,5.17860
2004-08-12,5.15740,5.15740,5.15740,5.15740
2004-08-13,5.17170,5.17170,5.16800,5.16800
2004-08-16,5.16400,5.16400,5.16400,5.16400
2004-08-17,5.16020,5.16020,5.16020,5.16020
2004-08-18,5.17930,5.17930,5.17930,5.17930
2004-08-19,5.17510,5.17510,5.17510,5.17510
2004-08-20,5.16290,5.16290,5.16290,5.16290
2004-08-23,5.16290,5.16290,5.16290,5.16290
2004-08-24,5.21090,5.21090,5.16080,5.16080
2004-08-25,5.15860,5.15860,5.15860,5.15860
2004-08-26,5.17180,5.17180,5.17180,5.17180
2004-08-27,5.17490,5.17490,5.17490,5.17490
2004-08-30,5.17490,5.17490,5.17490,5.17490
2004-08-31,5.16210,5.16210,5.16210,5.16210
2004-09-01,5.16720,5.16720,5.16720,5.16720
2004-09-02,5.17160,5.17160,5.17160,5.17160
2004-09-03,5.17030,5.17030,5.17030,5.17030
2004-09-06,5.22070,5.22070,5.16700,5.16700
2004-09-07,5.17800,5.17800,5.17220,5.17220
2004-09-08,5.18530,5.18570,5.16630,5.16630
2004-09-09,5.16050,5.16050,5.16050,5.16050
2004-09-10,5.17160,5.17160,5.17160,5.17160
2004-09-13,5.16290,5.16290,5.16290,5.16290
2004-09-14,5.15460,5.15460,5.15460,5.15460
2004-09-15,5.15420,5.15420,5.15420,5.15420
2004-09-16,5.19340,5.19340,5.17600,5.17600
2004-09-17,5.17590,5.18990,5.17590,5.18990
2004-09-20,5.17250,5.17250,5.17250,5.17250
2004-09-21,5.18200,5.18200,5.18200,5.18200
2004-09-22,5.17720,5.17720,5.17720,5.17720
2004-09-23,5.16480,5.16480,5.16480,5.16480
2004-09-24,5.17720,5.17720,5.17720,5.17720
2004-09-27,5.17520,5.17520,5.17520,5.17520
2004-09-28,5.15900,5.16860,5.15900,5.16860
2004-09-29,5.16600,5.16600,5.16600,5.16600
2004-09-30,5.15820,5.16780,5.15820,5.16780
2004-10-01,5.13490,5.17320,5.13490,5.17320
2004-10-04,5.18200,5.18200,5.18200,5.18200
2004-10-05,5.17790,5.17790,5.17790,5.17790
2004-10-06,5.16320,5.18320,5.16320,5.18320
2004-10-07,5.17300,5.17300,5.17300,5.17300
2004-10-08,5.17070,5.17070,5.17070,5.17070
2004-10-11,5.16690,5.16690,5.16690,5.16690
2004-10-12,5.16760,5.16760,5.16220,5.16220
2004-10-13,5.16510,5.16510,5.16400,5.16400
2004-10-14,5.17120,5.17120,5.17120,5.17120
2004-10-15,5.16750,5.16750,5.16750,5.16750
2004-10-18,5.16870,5.16870,5.16870,5.16870
2004-10-19,5.17030,5.17030,5.17030,5.17030
2004-10-20,5.17550,5.17550,5.17550,5.17550
2004-10-21,5.17330,5.17330,5.17330,5.17330
2004-10-22,5.17280,5.17430,5.17280,5.17430
2004-10-25,5.17920,5.17920,5.17920,5.17920
2004-10-26,5.17940,5.18010,5.17940,5.18010
2004-10-27,5.17400,5.17400,5.17400,5.17400
2004-10-28,5.31675,5.33000,5.31300,5.31650
2004-10-29,5.17950,5.17950,5.17650,5.17650
2004-11-01,5.16380,5.17870,5.16380,5.17870
2004-11-02,5.18180,5.18180,5.17550,5.17550
2004-11-03,5.18220,5.18220,5.16790,5.16790
2004-11-04,5.16880,5.16880,5.16880,5.16880
2004-11-05,5.17070,5.17070,5.17070,5.17070
2004-11-08,5.17860,5.17860,5.17860,5.17860
2004-11-09,5.17410,5.17410,5.17410,5.17410
2004-11-10,5.17360,5.17360,5.17360,5.17360
2004-11-11,5.17340,5.17340,5.17340,5.17340
2004-11-12,5.17720,5.17720,5.17720,5.17720
2004-11-15,5.17100,5.17100,5.17100,5.17100
2004-11-16,5.17380,5.17380,5.16690,5.16690
2004-11-17,5.17810,5.17810,5.17810,5.17810
2004-11-18,5.17830,5.18170,5.17830,5.18170
2004-11-19,5.18050,5.18050,5.18050,5.18050
2004-11-22,5.17050,5.17050,5.17050,5.17050
2004-11-23,5.17940,5.17940,5.17940,5.17940
2004-11-24,5.17690,5.17690,5.17690,5.17690
2004-11-25,5.16710,5.17970,5.16710,5.17970
2004-11-26,5.15220,5.18460,5.15220,5.18460
2004-11-29,5.18110,5.18110,5.18110,5.18110
2004-11-30,5.17940,5.18450,5.17940,5.18450
2004-12-01,5.18660,5.18660,5.18660,5.18660
2004-12-02,5.18090,5.18090,5.18090,5.18090
2004-12-03,5.18050,5.18050,5.18050,5.18050
2004-12-06,5.12230,5.18500,5.12230,5.18500
2004-12-07,5.18390,5.18390,5.18390,5.18390
2004-12-08,5.18460,5.18460,5.18460,5.18460
2004-12-09,5.20100,5.20100,5.18860,5.18860
2004-12-10,5.18010,5.18010,5.18010,5.18010
2004-12-13,5.1875,5.1875,5.1875,5.1875
2004-12-14,5.18470,5.18470,5.18470,5.18470
2004-12-15,5.18730,5.18730,5.15940,5.15940
2004-12-16,5.18030,5.18030,5.18030,5.18030
2004-12-17,5.22300,5.22300,5.22300,5.22300
2004-12-20,5.18400,5.18400,5.18400,5.18400
2004-12-21,5.18390,5.18390,5.18390,5.18390
2004-12-22,5.20150,5.20150,5.17300,5.17300
2004-12-23,5.18340,5.18340,5.18340,5.18340
2004-12-24,5.31390,5.32500,5.31190,5.31340
2004-12-27,5.17840,5.17840,5.17840,5.17840
2004-12-28,5.17510,5.17510,5.17510,5.17510
2004-12-29,5.17200,5.17200,5.17200,5.17200
2004-12-30,5.18220,5.18220,5.18220,5.18220
2004-12-31,5.16930,5.17270,5.16930,5.17270
2005-01-03,5.22030,5.22030,5.17270,5.17270
2005-01-04,5.18380,5.18380,5.17770,5.17770
2005-01-05,5.21560,5.21560,5.17070,5.17070
2005-01-06,5.17650,5.17650,5.17260,5.17260
2005-01-07,5.17000,5.23140,5.17000,5.23140
2005-01-10,5.093200,5.093200,5.093200,5.093200
2005-01-11,5.094800,5.094800,5.094800,5.094800
2005-01-12,5.10120,5.10120,5.10120,5.10120
2005-01-13,5.099200,5.099200,5.099200,5.099200
2005-01-14,5.14630,5.14630,5.096800,5.096800
2005-01-17,5.094600,5.094600,5.094200,5.094200
2005-01-18,5.093900,5.093900,5.093900,5.093900
2005-01-19,5.10760,5.10760,5.092100,5.092100
2005-01-20,5.093900,5.093900,5.093900,5.093900
2005-01-21,5.10310,5.10310,5.10310,5.10310
2005-01-24,5.10040,5.10040,5.10040,5.10040
2005-01-25,5.094300,5.094300,5.094300,5.094300
2005-01-26,5.12100,5.12100,5.094300,5.094300
2005-01-27,5.094100,5.094100,5.094100,5.094100
2005-01-28,5.10350,5.10350,5.097500,5.097500
2005-01-31,5.10110,5.10110,5.092100,5.092100
2005-02-01,5.089800,5.089800,5.089800,5.089800
2005-02-02,5.071900,5.088800,5.071900,5.088800
2005-02-03,5.090300,5.090300,5.090300,5.090300
2005-02-04,5.10950,5.10950,5.089300,5.089300
2005-02-07,5.091600,5.091600,5.091600,5.091600
2005-02-08,5.13060,5.13060,5.092400,5.092400
2005-02-09,5.083000,5.084600,5.083000,5.084600
2005-02-10,5.083300,5.083300,5.083300,5.083300
2005-02-11,5.078600,5.078600,5.078600,5.078600
2005-02-14,5.082100,5.082100,5.082100,5.082100
2005-02-15,5.079800,5.079800,5.079800,5.079800
2005-02-16,5.060700,5.077400,5.060700,5.077400
2005-02-17,5.080400,5.080400,5.080400,5.080400
2005-02-18,5.084800,5.084800,5.068400,5.068400
2005-02-21,5.080200,5.080200,5.080200,5.080200
2005-02-22,5.079600,5.079600,5.079600,5.079600
2005-02-23,5.081700,5.081700,5.081700,5.081700
2005-02-24,5.083300,5.087200,5.083300,5.087200
2005-02-25,5.10570,5.10570,5.085400,5.085400
2005-02-28,5.074500,5.074500,5.074500,5.074500
2005-03-01,5.098500,5.098500,5.081200,5.081200
2005-03-02,5.088100,5.088100,5.088100,5.088100
2005-03-03,5.080700,5.086800,5.080700,5.086800
2005-03-04,5.10440,5.10440,5.029800,5.029800
2005-03-07,5.079100,5.079100,5.079100,5.079100
2005-03-08,5.082700,5.082700,5.082700,5.082700
2005-03-09,5.082200,5.082200,5.082200,5.082200
2005-03-10,5.060600,5.074700,5.060600,5.074700
