datetime,open,high,low,close
1995-05-22,925,930,925,930
1995-05-23,925,930,925,930
1995-05-24,924,929,924,929
1995-05-25,940,950,940,950
1995-05-26,940,950,940,950
1995-05-29,940,950,940,950
1995-05-30,945,955,945,955
1995-05-31,945,955,945,955
1995-06-01,945,955,945,955
1995-06-02,945,955,945,955
1995-06-05,949,959,949,959
1995-06-06,950,960,950,960
1995-06-07,950,960,950,960
1995-06-08,950,960,950,960
1995-06-09,950,960,950,960
1995-06-12,950,960,950,960
1995-06-13,950,960,950,960
1995-06-14,945,955,945,955
1995-06-15,945,955,945,955
1995-06-16,945,955,945,955
1995-06-19,948,958,948,958
1995-06-20,948,958,948,958
1995-06-21,948,958,948,958
1995-06-22,948,958,948,958
1995-06-23,950,960,950,960
1995-06-26,950,960,950,960
1995-06-27,950,960,950,960
1995-06-28,950,960,950,960
1995-06-29,950,960,950,960
1995-06-30,950,960,950,960
1995-07-03,950,960,950,960
1995-07-04,950,960,950,960
1995-07-05,950,960,950,960
1995-07-06,950,960,950,960
1995-07-07,948,959,948,959
1995-07-10,950,960,950,960
1995-07-11,950,960,950,960
1995-07-12,950,960,950,960
1995-07-13,959,967,959,967
1995-07-14,959,967,959,967
1995-07-17,960,967.5,960,967.5
1995-07-18,960,967.5,960,967.5
1995-07-19,960,967.5,960,967.5
1995-07-20,958,966.5,958,966.5
1995-07-21,958,966.5,958,966.5
1995-07-24,950,960,950,960
1995-07-25,950,960,950,960
1995-07-26,950,960,950,960
1995-07-27,950,960,950,960
1995-07-28,950,960,950,960
1995-07-31,950,960,950,960
1995-08-01,965,975,965,975
1995-08-02,970,980,970,980
1995-08-03,970,980,970,980
1995-08-04,970,980,970,980
1995-08-07,968,978,968,978
1995-08-08,968,978,968,978
1995-08-09,968,978,968,978
1995-08-10,968,978,968,978
1995-08-11,968,978,968,978
1995-08-14,959,969,959,969
1995-08-15,958,968,958,968
1995-08-16,958,968,958,968
1995-08-17,960,970,960,970
1995-08-18,960,970,960,970
1995-08-21,960,970,960,970
1995-08-22,960,970,960,970
1995-08-23,960,970,960,970
1995-08-24,960,970,960,970
1995-08-25,960,970,960,970
1995-08-28,950,965,950,965
1995-08-29,950,965,950,965
1995-08-30,950,965,950,965
1995-08-31,950,965,950,965
1995-09-01,950,965,950,965
1995-09-04,950,965,950,965
1995-09-05,950,965,950,965
1995-09-06,950,965,950,965
1995-09-07,950,965,950,965
1995-09-08,950,965,950,965
1995-09-11,960,970,960,970
1995-09-12,960,970,960,970
1995-09-13,960,970,960,970
1995-09-14,960,970,960,970
1995-09-15,960,970,960,970
1995-09-18,963,971.5,963,971.5
1995-09-19,963,971.5,963,971.5
1995-09-20,963,971.5,963,971.5
1995-09-21,963,971.5,963,971.5
1995-09-22,963,971.5,963,971.5
1995-09-25,963,971.5,963,971.5
1995-09-26,963,971.5,963,971.5
1995-09-27,963,971.5,963,971.5
1995-09-28,963,971.5,963,971.5
1995-09-29,963,984,963,984
1995-10-02,995,1005,995,1005
1995-10-03,995,1005,995,1005
1995-10-04,995,1005,995,1005
1995-10-05,995,1005,995,1005
1995-10-06,995,1005,995,1005
1995-10-09,995,1005,995,1005
1995-10-10,997,1006,997,1006
1995-10-11,995,1002.5,995,1002.5
1995-10-12,1025,1037.5,1025,1037.5
1995-10-13,1025,1037.5,1025,1037.5
1995-10-16,1025,1037.5,1025,1037.5
1995-10-17,1060,1072.5,1060,1072.5
1995-10-18,1063,1075.5,1063,1075.5
1995-10-19,1065,1077.5,1065,1077.5
