datetime,open,high,low,close
1992-01-31,2.56300,2.64000,2.56300,2.64000
1992-02-03,2.57200,2.64900,2.57200,2.64900
1992-02-04,2.57600,2.65300,2.57600,2.65300
1992-02-05,2.58000,2.65700,2.58000,2.65700
1992-02-06,2.58500,2.66200,2.58500,2.66200
1992-02-07,2.58900,2.66600,2.58900,2.66600
1992-02-10,2.59800,2.67550,2.59800,2.67550
1992-02-11,2.60200,2.68000,2.60200,2.68000
1992-02-12,2.60700,2.68500,2.60700,2.68500
1992-02-13,2.61100,2.68900,2.61100,2.68900
1992-02-14,2.61500,2.69350,2.61500,2.69350
1992-02-17,2.62400,2.70300,2.62400,2.70300
1992-02-18,2.62700,2.70650,2.62700,2.70650
1992-02-19,2.63200,2.71150,2.63200,2.71150
1992-02-20,2.63200,2.71150,2.63200,2.71150
1992-02-21,2.64000,2.71950,2.64000,2.71950
1992-02-24,2.65000,2.72950,2.65000,2.72950
1992-02-25,2.65300,2.73300,2.65300,2.73300
1992-02-26,2.65700,2.73700,2.65700,2.73700
1992-02-27,2.66100,2.74100,2.66100,2.74100
1992-02-28,2.66500,2.74500,2.66500,2.74500
1992-03-02,2.66500,2.74500,2.66500,2.74500
1992-03-03,2.66500,2.74500,2.66500,2.74500
1992-03-04,2.66700,2.75250,2.66700,2.75250
1992-03-05,2.68100,2.76150,2.68100,2.76150
1992-03-06,2.68500,2.76550,2.68500,2.76550
1992-03-09,2.69400,2.77500,2.69400,2.77500
1992-03-10,2.69800,2.77900,2.69800,2.77900
1992-03-11,2.70200,2.78300,2.70200,2.78300
1992-03-12,2.70200,2.78300,2.70200,2.78300
1992-03-13,2.71000,2.79100,2.71000,2.79100
1992-03-16,2.71900,2.80050,2.71900,2.80050
1992-03-17,2.72200,2.80350,2.72200,2.80350
1992-03-18,2.72500,2.80650,2.72500,2.80650
1992-03-19,2.72900,2.81050,2.72900,2.81050
1992-03-20,2.73300,2.81450,2.73300,2.81450
1992-03-23,2.74300,2.82500,2.74300,2.82500
1992-03-24,2.74600,2.82800,2.74600,2.82800
1992-03-25,2.75,2.83250,2.75,2.83250
1992-03-26,2.75400,2.83650,2.75400,2.83650
1992-03-27,2.75800,2.84050,2.75800,2.84050
1992-03-30,2.76800,2.85100,2.76800,2.85100
1992-03-31,2.77200,2.85500,2.77200,2.85500
1992-04-01,2.77600,2.85900,2.77600,2.85900
1992-04-02,2.78000,2.86350,2.78000,2.86350
1992-04-03,2.78400,2.86750,2.78400,2.86750
1992-04-06,2.79400,2.87800,2.79400,2.87800
1992-04-07,2.79800,2.88200,2.79800,2.88200
1992-04-08,2.80200,2.88600,2.80200,2.88600
1992-04-09,2.80600,2.89000,2.80600,2.89000
1992-04-10,2.80900,2.89350,2.80900,2.89350
1992-04-13,2.80900,2.89350,2.80900,2.89350
1992-04-14,2.80900,2.89350,2.80900,2.89350
1992-04-15,2.80900,2.89350,2.80900,2.89350
1992-04-16,2.80900,2.89350,2.80900,2.89350
1992-04-17,2.80900,2.89350,2.80900,2.89350
1992-04-20,2.84500,2.93150,2.84500,2.93150
1992-04-21,2.84900,2.93550,2.84900,2.93550
1992-04-22,2.85300,2.93950,2.85300,2.93950
1992-04-23,2.85700,2.94350,2.85700,2.94350
1992-04-24,2.86100,2.94750,2.86100,2.94750
1992-04-27,2.87100,2.95750,2.87100,2.95750
1992-04-28,2.875,2.96150,2.875,2.96150
1992-04-29,2.87900,2.96550,2.87900,2.96550
1992-04-30,2.88300,2.96950,2.88300,2.96950
1992-05-01,2.88300,2.96950,2.88300,2.96950
1992-05-04,2.89700,2.98350,2.89700,2.98350
1992-05-05,2.90100,2.98800,2.90100,2.98800
1992-05-06,2.90500,2.99200,2.90500,2.99200
1992-05-07,2.90900,2.99600,2.90900,2.99600
1992-05-08,2.91200,2.99950,2.91200,2.99950
1992-05-11,2.92200,3.0100000,2.92200,3.0100000
1992-05-12,2.92900,3.014500,2.92900,3.014500
1992-05-13,2.92900,3.014500,2.92900,3.014500
1992-05-14,2.93000,3.018000,2.93000,3.018000
1992-05-15,2.93300,3.021000,2.93300,3.021000
1992-05-18,2.93300,3.021000,2.93300,3.021000
1992-05-19,2.93000,3.032500,2.93000,3.032500
1992-05-20,2.93300,3.035500,2.93300,3.035500
1992-05-21,2.93500,3.037500,2.93500,3.037500
1992-05-22,2.93800,3.041000,2.93800,3.041000
1992-05-25,2.94600,3.049000,2.94600,3.049000
1992-05-26,2.94900,3.052000,2.94900,3.052000
1992-05-27,2.95200,3.055500,2.95200,3.055500
1992-05-28,2.95400,3.057500,2.95400,3.057500
1992-05-29,2.95700,3.060500,2.95700,3.060500
1992-06-01,2.96500,3.063500,2.96500,3.063500
1992-06-02,2.96800,3.072000,2.96800,3.072000
1992-06-03,2.97100,3.075000,2.97100,3.075000
1992-06-04,2.97300,3.077500,2.97300,3.077500
1992-06-05,2.97600,3.080500,2.97600,3.080500
1992-06-08,2.98400,3.088500,2.98400,3.088500
1992-06-09,2.98700,3.091500,2.98700,3.091500
1992-06-10,2.99000,3.094500,2.99000,3.094500
1992-06-11,2.99300,3.097500,2.99300,3.097500
1992-06-12,2.99500,3.100000,2.99500,3.100000
1992-06-15,3.0039999,3.10900,3.0039999,3.10900
1992-06-16,3.0070000,3.11200,3.0070000,3.11200
1992-06-17,3.0090001,3.11450,3.0090001,3.11450
1992-06-18,3.0090001,3.11450,3.0090001,3.11450
1992-06-19,3.0090001,3.11450,3.0090001,3.11450
1992-06-22,3.023000,3.12900,3.023000,3.12900
1992-06-23,3.026000,3.13200,3.026000,3.13200
1992-06-24,3.029000,3.13500,3.029000,3.13500
1992-06-25,3.032000,3.13800,3.032000,3.13800
1992-06-26,3.034000,3.14050,3.034000,3.14050
1992-06-29,3.043000,3.14950,3.043000,3.14950
1992-06-30,3.046000,3.15250,3.046000,3.15250
1992-07-01,3.049000,3.15550,3.049000,3.15550
1992-07-02,3.051000,3.15750,3.051000,3.15750
1992-07-03,3.053000,3.16000,3.053000,3.16000
1992-07-06,3.061000,3.16800,3.061000,3.16800
1992-07-07,3.063000,3.17000,3.063000,3.17000
1992-07-08,3.065000,3.17250,3.065000,3.17250
1992-07-09,3.068000,3.17500,3.068000,3.17500
1992-07-10,3.070000,3.17750,3.070000,3.17750
1992-07-13,3.078000,3.18550,3.078000,3.18550
1992-07-14,3.080000,3.18800,3.080000,3.18800
1992-07-15,3.083000,3.19050,3.083000,3.19050
1992-07-16,3.085000,3.19300,3.085000,3.19300
1992-07-17,3.088000,3.19550,3.088000,3.19550
