datetime,open,high,low,close
1995-04-10,11044,11050,11044,11050
1995-04-11,11044,11050,11044,11050
1995-04-12,11044,11050,11044,11050
1995-04-13,11044,11050,11044,11050
1995-04-14,11044,11050,11044,11050
1995-04-17,11042,11049,11042,11049
1995-04-18,11042,11048.5,11042,11048.5
1995-04-19,11042,11048,11042,11048
1995-04-20,11041,11047.5,11041,11047.5
1995-04-21,11041,11047,11041,11047
1995-04-24,11041,11047,11041,11047
1995-04-25,11041,11047,11041,11047
1995-04-26,11041,11047,11041,11047
1995-04-27,11041,11047,11041,11047
1995-04-28,11041,11047,11041,11047
1995-05-01,11041,11047,11041,11047
1995-05-02,11041,11047,11041,11047
1995-05-03,11041,11047,11041,11047
1995-05-04,11041,11047,11041,11047
1995-05-05,11041,11047,11041,11047
1995-05-08,11041,11047,11041,11047
1995-05-09,11040,11046,11040,11046
1995-05-10,11040,11046,11040,11046
1995-05-11,11040,11046,11040,11046
1995-05-12,11045,11051,11045,11051
1995-05-15,11045,11051,11045,11051
1995-05-16,11045,11051,11045,11051
1995-05-17,11045,11051,11045,11051
1995-05-18,11045,11051,11045,11051
1995-05-19,11045,11051,11045,11051
1995-05-22,11045,11051,11045,11051
1995-05-23,11045,11051,11045,11051
1995-05-24,11045,11051,11045,11051
1995-05-25,11045,11051,11045,11051
1995-05-26,11045,11051,11045,11051
1995-05-29,11045,11051,11045,11051
1995-05-30,11045,11051,11045,11051
1995-05-31,11045,11051,11045,11051
1995-06-01,11045,11051,11045,11051
1995-06-02,11045,11051,11045,11051
1995-06-05,11045,11051,11045,11051
1995-06-06,11045,11051,11045,11051
1995-06-07,11045,11051,11045,11051
1995-06-08,11045,11051,11045,11051
1995-06-09,11045,11051,11045,11051
1995-06-12,11045,11051,11045,11051
1995-06-13,11045,11051,11045,11051
1995-06-14,11045,11051,11045,11051
1995-06-15,11045,11051,11045,11051
1995-06-16,11045,11051,11045,11051
1995-06-19,11045,11049,11045,11049
1995-06-20,11045,11049.5,11045,11049.5
1995-06-21,11045,11049.5,11045,11049.5
1995-06-22,11042,11048,11042,11048
1995-06-23,11040,11046,11040,11046
1995-06-26,11040,11046,11040,11046
1995-06-27,11040,11046,11040,11046
1995-06-28,11040,11046,11040,11046
1995-06-29,11040,11046,11040,11046
1995-06-30,11040,11046,11040,11046
1995-07-03,11040,11046,11040,11046
1995-07-04,11040,11046,11040,11046
1995-07-05,11040,11046,11040,11046
1995-07-06,11040,11046,11040,11046
1995-07-07,11035,11043.5,11035,11043.5
1995-07-10,11035,11043.5,11035,11043.5
1995-07-11,11035,11043.5,11035,11043.5
1995-07-12,11035,11043.5,11035,11043.5
1995-07-13,11035,11043.5,11035,11043.5
1995-07-14,11035,11043.5,11035,11043.5
1995-07-17,11035,11043.5,11035,11043.5
1995-07-18,11025,11037.5,11025,11037.5
1995-07-19,11025,11037.5,11025,11037.5
1995-07-20,11020,11035,11020,11035
1995-07-21,11020,11035,11020,11035
1995-07-24,11020,11035,11020,11035
1995-07-25,11030,11039,11030,11039
1995-07-26,11030,11039,11030,11039
1995-07-27,11030,11039,11030,11039
1995-07-28,11030,11039,11030,11039
1995-07-31,11030,11039,11030,11039
1995-08-01,11030,11039,11030,11039
1995-08-02,11030,11039,11030,11039
1995-08-03,11030,11039,11030,11039
1995-08-04,11030,11039,11030,11039
1995-08-07,11030,11039,11030,11039
1995-08-08,11030,11039,11030,11039
1995-08-09,11030,11039,11030,11039
1995-08-10,11030,11039,11030,11039
1995-08-11,11030,11039,11030,11039
1995-08-14,11030,11039,11030,11039
1995-08-15,11030,11039,11030,11039
1995-08-16,11030,11039,11030,11039
1995-08-17,11030,11039,11030,11039
1995-08-18,11039,11045,11039,11045
1995-08-21,11039,11045,11039,11045
1995-08-22,11039,11045,11039,11045
1995-08-23,11030,11036.5,11030,11036.5
1995-08-24,11030,11036.5,11030,11036.5
1995-08-25,11030,11036.5,11030,11036.5
1995-08-28,11030,11036.5,11030,11036.5
1995-08-29,11025,11030.5,11025,11030.5
1995-08-30,11025,11030.5,11025,11030.5
1995-08-31,11025,11030.5,11025,11030.5
1995-09-01,11025,11030.5,11025,11030.5
1995-09-04,11025,11030.5,11025,11030.5
1995-09-05,11025,11030.5,11025,11030.5
1995-09-06,11025,11030.5,11025,11030.5
1995-09-07,11025,11030.5,11025,11030.5
1995-09-08,11025,11030.5,11025,11030.5
1995-09-11,11025,11030.5,11025,11030.5
1995-09-12,11025,11030.5,11025,11030.5
1995-09-13,11025,11030.5,11025,11030.5
1995-09-14,11025,11030.5,11025,11030.5
1995-09-15,11025,11030.5,11025,11030.5
1995-09-18,11025,11030.5,11025,11030.5
1995-09-19,11025,11030.5,11025,11030.5
1995-09-20,11025,11030.5,11025,11030.5
1995-09-21,11025,11030.5,11025,11030.5
1995-09-22,11025,11030.5,11025,11030.5
1995-09-25,11025,11030.5,11025,11030.5
1995-09-26,11025,11030.5,11025,11030.5
1995-09-27,11025,11030.5,11025,11030.5
1995-09-28,11025,11030.5,11025,11030.5
1995-09-29,11015,11022.5,11015,11022.5
1995-10-02,11012,11020.5,11012,11020.5
1995-10-03,11011,11018.5,11011,11018.5
1995-10-04,11011,11018.5,11011,11018.5
1995-10-05,11008,11014,11008,11014
1995-10-06,11008,11014,11008,11014
1995-10-09,11008,11014,11008,11014
1995-10-10,11008,11014,11008,11014
1995-10-11,11003,11009.5,11003,11009.5
1995-10-12,11000,11006.5,11000,11006.5
1995-10-13,11000,11006.5,11000,11006.5
1995-10-16,11000,11006.5,11000,11006.5
1995-10-17,11005,11008.5,11005,11008.5
1995-10-18,11004,11008,11004,11008
1995-10-19,11004,11008,11004,11008
1995-10-20,11004,11008,11004,11008
1995-10-23,11004,11008,11004,11008
1995-10-24,11004,11008,11004,11008
1995-10-25,11004,11008,11004,11008
1995-10-26,11004,11008,11004,11008
1995-10-27,11004,11008,11004,11008
1995-10-30,11004,11006,11004,11006
1995-10-31,11004,11006,11004,11006
1995-11-01,11004,11006,11004,11006
1995-11-02,11004,11006,11004,11006
1995-11-03,11004,11006,11004,11006
1995-11-06,11004,11006,11004,11006
1995-11-07,11006,11008,11006,11008
1995-11-08,11006,11008,11006,11008
1995-11-09,11006,11008,11006,11008
1995-11-10,11007,11008.5,11007,11008.5
1995-11-13,11007,11008.5,11007,11008.5
1995-11-14,11007,11008.5,11007,11008.5
