datetime,open,high,low,close
2025-12-04,2.80035,2.80138,2.76575,2.79024
2025-12-05,2.79019,2.79051,2.7648,2.78867
2025-12-06,2.78861,2.78873,2.78857,2.78865
2025-12-08,2.78909,2.78976,2.77778,2.78554
2025-12-09,2.78549,2.78796,2.76395,2.78787
2025-12-10,2.78782,2.78799,2.76327,2.78002
2025-12-11,2.77998,2.78421,2.75997,2.78389
2025-12-12,2.78385,2.78442,2.75202,2.77553
2025-12-13,2.77549,2.77562,2.77537,2.77547
2025-12-15,2.77547,2.77953,2.75539,2.77936
2025-12-16,2.77934,2.79126,2.75922,2.79107
2025-12-17,2.79105,2.79116,2.76024,2.78469
2025-12-18,2.78467,2.78966,2.76535,2.78941
2025-12-19,2.78939,2.78956,2.76433,2.78783
2025-12-20,2.78782,2.78801,2.78773,2.78782
2025-12-22,2.76944,2.78794,2.76759,2.78397
2025-12-23,2.78397,2.78881,2.75661,2.78861
2025-12-24,2.78861,2.78877,2.74714,2.78867
2025-12-25,2.78861,2.78873,2.78857,2.78861
2025-12-26,2.78861,2.78875,2.77046,2.77087
2025-12-27,2.77088,2.77103,2.77084,2.77086
2025-12-29,2.77088,2.77123,2.74558,2.76929
2025-12-30,2.76931,2.77642,2.75254,2.77618
2025-12-31,2.7762,2.77644,2.75205,2.77626
2026-01-01,2.77549,2.77561,2.77544,2.77546
2026-01-02,2.77548,2.7756,2.75143,2.76777
