datetime,open,high,low,close
1988-02-18,2.079900,2.082500,2.072600,2.079900
1988-02-19,2.086000,2.094700,2.077300,2.086000
1988-02-22,2.075200,2.089900,2.075200,2.075200
1988-02-23,2.084300,2.084300,2.072200,2.084300
1988-02-24,2.086000,2.090400,2.076000,2.086000
1988-02-25,2.088200,2.10440,2.088200,2.088200
1988-02-26,2.086400,2.089900,2.085100,2.086400
1988-02-29,2.093400,2.099100,2.088200,2.093400
1988-03-01,2.10660,2.11110,2.090800,2.10660
1988-03-02,2.12640,2.12640,2.10350,2.12640
1988-03-03,2.13860,2.14460,2.12050,2.13860
1988-03-04,2.14550,2.15990,2.13040,2.14550
1988-03-07,2.14870,2.15620,2.14280,2.14870
1988-03-09,2.13950,2.15430,2.13270,2.13950
1988-03-10,2.11960,2.14780,2.11650,2.11960
1988-03-11,2.11020,2.11960,2.100000,2.11020
1988-03-14,2.11650,2.11730,2.11200,2.11650
1988-03-15,2.13270,2.13450,2.12050,2.13270
1988-03-16,2.12730,2.14410,2.11560,2.12730
1988-03-17,2.14920,2.15570,2.12050,2.14920
1988-03-18,2.14280,2.15620,2.13040,2.14280
1988-03-21,2.14050,2.14600,2.13860,2.14050
1988-03-22,2.13500,2.14970,2.13040,2.13500
1988-03-23,2.14410,2.14970,2.13860,2.14410
1988-03-24,2.13360,2.13860,2.13270,2.13360
1988-03-25,2.13860,2.14280,2.13090,2.13860
1988-03-28,2.11960,2.13730,2.11960,2.11960
1988-03-29,2.11420,2.12950,2.11020,2.11420
1988-03-30,2.12730,2.13590,2.11730,2.12730
1988-03-31,2.11870,2.12910,2.11690,2.11870
1988-04-05,2.125,2.12540,2.12050,2.125
1988-04-07,2.14280,2.14920,2.14050,2.14280
1988-04-08,2.13630,2.14970,2.13450,2.13630
1988-04-11,2.14460,2.14970,2.13630,2.14460
1988-04-12,2.15110,2.15990,2.14510,2.15110
1988-04-13,2.15290,2.15750,2.14410,2.15290
1988-04-14,2.13630,2.15850,2.13040,2.13630
1988-04-15,2.13320,2.14000,2.12050,2.13320
1988-04-18,2.13220,2.13950,2.12050,2.13220
1988-04-19,2.14280,2.14280,2.13270,2.14280
1988-04-20,2.13450,2.14970,2.13040,2.13450
1988-04-21,2.14280,2.14600,2.13360,2.14280
1988-04-22,2.14640,2.14870,2.14000,2.14640
1988-04-25,2.14970,2.15940,2.14600,2.14970
1988-04-26,2.15060,2.15060,2.14640,2.15060
1988-04-27,2.15290,2.15430,2.14180,2.15290
1988-04-28,2.14970,2.15990,2.14640,2.14970
1988-04-29,2.15290,2.15430,2.14780,2.15290
1988-05-02,2.16360,2.17020,2.14970,2.16360
1988-05-03,2.17440,2.18010,2.16170,2.17440
1988-05-04,2.20030,2.21000,2.17490,2.20030
1988-05-05,2.21490,2.22920,2.20030,2.21490
1988-05-06,2.21930,2.22080,2.21490,2.21930
1988-05-09,2.20030,2.22870,2.19590,2.20030
1988-05-10,2.19880,2.20560,2.19020,2.19880
1988-05-11,2.20030,2.20120,2.19020,2.20030
1988-05-12,2.19930,2.20120,2.19500,2.19930
1988-05-13,2.20030,2.20410,2.19590,2.20030
1988-05-17,2.20690,2.22620,2.20070,2.20690
1988-05-18,2.22160,2.22390,2.21540,2.22160
1988-05-19,2.21540,2.22890,2.20920,2.21540
1988-05-20,2.21890,2.22890,2.20920,2.21890
1988-05-23,2.21890,2.22890,2.20920,2.21890
1988-05-24,2.21650,2.21890,2.21420,2.21650
1988-05-25,2.22160,2.22890,2.21030,2.22160
1988-05-26,2.22510,2.22620,2.22390,2.22510
1988-05-27,2.22620,2.22890,2.22160,2.22620
1988-05-30,2.23980,2.24100,2.22160,2.23980
1988-05-31,2.23630,2.23860,2.23630,2.23630
1988-06-01,2.24600,2.24830,2.23980,2.24600
1988-06-02,2.25680,2.25920,2.24710,2.25680
1988-06-03,2.23010,2.25450,2.22780,2.23010
1988-06-06,2.23130,2.23360,2.22040,2.23130
1988-06-07,2.23240,2.23860,2.21890,2.23240
1988-06-08,2.23240,2.23860,2.22780,2.23240
1988-06-09,2.23980,2.24830,2.22890,2.23980
1988-06-10,2.23130,2.23750,2.22390,2.23130
1988-06-13,2.23980,2.24950,2.22890,2.23980
1988-06-14,2.25570,2.26190,2.23860,2.25570
1988-06-15,2.27660,2.28010,2.26190,2.27660
1988-06-16,2.27500,2.27890,2.27150,2.27500
1988-06-17,2.28510,2.28860,2.27500,2.28510
1988-06-20,2.27780,2.28740,2.26070,2.27780
1988-06-21,2.27890,2.28860,2.27390,2.27890
1988-06-22,2.28860,2.29830,2.28010,2.28860
1988-06-23,2.29940,2.30800,2.28360,2.29940
1988-06-24,2.30220,2.31420,2.28740,2.30220
1988-06-27,2.31420,2.33010,2.30800,2.31420
1988-06-28,2.29940,2.31420,2.28860,2.29940
1988-06-29,2.31920,2.32890,2.30330,2.31920
1988-06-30,2.32390,2.32770,2.29940,2.32390
1988-07-01,2.32270,2.32660,2.31300,2.32270
1988-07-04,2.32270,2.32660,2.31300,2.32270
1988-07-05,2.33390,2.33630,2.32660,2.33390
1988-07-06,2.33010,2.33390,2.31920,2.33010
1988-07-07,2.33390,2.34710,2.33120,2.33390
1988-07-08,2.34590,2.35830,2.33510,2.34590
1988-07-11,2.36300,2.36300,2.34480,2.36300
1988-07-12,2.37540,2.37770,2.35950,2.37540
1988-07-13,2.39360,2.39360,2.36920,2.39360
1988-07-14,2.40830,2.42770,2.38860,2.40830
1988-07-15,2.43390,2.44360,2.40950,2.43390
1988-07-18,2.46060,2.47920,2.44980,2.46060
1988-07-19,2.44130,2.45330,2.41920,2.44130
1988-07-20,2.41680,2.42190,2.39710,2.41680
1988-07-21,2.40440,2.42770,2.38860,2.40440
1988-07-22,2.39590,2.40210,2.37540,2.39590
1988-07-25,2.40830,2.41920,2.39980,2.40830
1988-07-26,2.43390,2.43890,2.42190,2.43390
1988-07-27,2.42420,2.45090,2.42190,2.42420
1988-07-28,2.43740,2.44010,2.42030,2.43740
1988-07-29,2.43890,2.45830,2.43890,2.43890
1988-08-01,2.44980,2.46800,2.44980,2.44980
1988-08-02,2.44980,2.45950,2.43040,2.44980
1988-08-03,2.45950,2.46910,2.44860,2.45950
1988-08-04,2.45950,2.46910,2.45090,2.45950
1988-08-05,2.46450,2.46910,2.45480,2.46450
1988-08-08,2.49630,2.49630,2.48150,2.49630
1988-08-09,2.50090,2.50210,2.47920,2.50090
1988-08-10,2.48150,2.51560,2.47920,2.48150
1988-08-11,2.45830,2.47770,2.44980,2.45830
1988-08-12,2.42770,2.43620,2.41920,2.42770
1988-08-15,2.42420,2.43890,2.41570,2.42420
1988-08-16,2.40440,2.42880,2.39130,2.40440
1988-08-17,2.44980,2.45090,2.43270,2.44980
1988-08-18,2.45480,2.46910,2.44980,2.45480
1988-08-19,2.45330,2.45830,2.44470,2.45330
1988-08-22,2.47300,2.47650,2.47180,2.47300
1988-08-23,2.46180,2.48040,2.45090,2.46180
1988-08-24,2.44360,2.45950,2.44010,2.44360
1988-08-25,2.41570,2.42540,2.40210,2.41570
1988-08-26,2.41570,2.41920,2.39980,2.41570
1988-08-29,2.43040,2.43040,2.41680,2.43040
1988-08-30,2.43160,2.43510,2.42770,2.43160
1988-08-31,2.44860,2.44860,2.42880,2.44860
1988-09-01,2.44860,2.45830,2.43890,2.44860
1988-09-02,2.43160,2.44980,2.42880,2.43160
1988-09-05,2.42030,2.42420,2.40950,2.42030
1988-09-06,2.41300,2.43160,2.41060,2.41300
1988-09-07,2.40090,2.41300,2.39860,2.40090
1988-09-08,2.41060,2.42190,2.40600,2.41060
1988-09-09,2.40720,2.41920,2.40210,2.40720
1988-09-12,2.42300,2.42540,2.41920,2.42300
1988-09-13,2.42540,2.42540,2.42030,2.42540
1988-09-14,2.45330,2.46180,2.41920,2.45330
1988-09-15,2.45480,2.46450,2.45210,2.45480
1988-09-16,2.45800,2.46860,2.44900,2.45800
1988-09-19,2.46800,2.47020,2.45330,2.46800
1988-09-20,2.46920,2.47860,2.45430,2.46920
1988-09-21,2.47390,2.48290,2.45920,2.47390
1988-09-22,2.47860,2.48860,2.46920,2.47860
1988-09-23,2.48080,2.48890,2.46920,2.48080
1988-09-26,2.48670,2.49890,2.47950,2.48670
1988-09-27,2.48570,2.49890,2.48200,2.48570
1988-09-28,2.47760,2.48790,2.46920,2.47760
1988-09-29,2.48390,2.48890,2.47020,2.48390
1988-09-30,2.49540,2.49890,2.47950,2.49540
1988-10-03,2.49110,2.49850,2.48450,2.49110
1988-10-04,2.48980,2.49850,2.48570,2.48980
1988-10-05,2.49600,2.50660,2.48390,2.49600
1988-10-06,2.48670,2.49890,2.47950,2.48670
1988-10-07,2.48760,2.49760,2.48570,2.48760
1988-10-10,2.48200,2.48510,2.48200,2.48200
1988-10-11,2.47700,2.48760,2.47610,2.47700
1988-10-12,2.46920,2.47760,2.46920,2.46920
1988-10-13,2.43120,2.46920,2.42930,2.43120
1988-10-14,2.44680,2.45110,2.43900,2.44680
1988-10-17,2.44090,2.44900,2.42930,2.44090
1988-10-18,2.43900,2.45890,2.43900,2.43900
1988-10-19,2.44210,2.44900,2.43620,2.44210
1988-10-20,2.43900,2.44300,2.43680,2.43900
1988-10-21,2.42930,2.44740,2.42930,2.42930
1988-10-24,2.44210,2.44580,2.43900,2.44210
1988-10-25,2.46020,2.46490,2.45330,2.46020
1988-10-26,2.45580,2.47800,2.45330,2.45580
1988-10-27,2.46360,2.46490,2.45430,2.46360
1988-10-28,2.47480,2.47950,2.47480,2.47480
1988-10-31,2.48760,2.49890,2.44900,2.48760
1988-11-01,2.50570,2.51070,2.49850,2.50570
1988-11-02,2.50450,2.50760,2.48980,2.50450
1988-11-03,2.45920,2.49040,2.43680,2.45920
1988-11-04,2.47170,2.47270,2.44120,2.47170
1988-11-07,2.45110,2.47700,2.43840,2.45110
