datetime,open,high,low,close
2025-12-04,1.36406,1.36547,1.36388,1.36535
2025-12-05,1.36535,1.3656,1.36338,1.36357
2025-12-06,1.36357,1.36368,1.36344,1.36358
2025-12-08,1.36356,1.36373,1.3633,1.3634
2025-12-09,1.3634,1.36355,1.36272,1.36285
2025-12-10,1.36285,1.36308,1.36204,1.36219
2025-12-11,1.36219,1.36653,1.36204,1.3664
2025-12-12,1.36641,1.36694,1.3662,1.36682
2025-12-13,1.36683,1.36694,1.36671,1.3668
2025-12-15,1.36682,1.3687,1.36662,1.36852
2025-12-16,1.36853,1.36966,1.36832,1.36955
2025-12-17,1.36956,1.36985,1.36591,1.36632
2025-12-18,1.36633,1.3672,1.36614,1.36695
2025-12-19,1.36696,1.36717,1.3657,1.3658
2025-12-20,1.36581,1.36592,1.36561,1.36577
2025-12-22,1.3658,1.36743,1.36568,1.36717
2025-12-23,1.3672,1.37132,1.36688,1.37122
2025-12-24,1.37123,1.37138,1.37101,1.37124
2025-12-25,1.37134,1.37143,1.3709,1.37133
2025-12-26,1.37134,1.37154,1.37083,1.37126
2025-12-27,1.37127,1.37146,1.37076,1.37129
2025-12-29,1.37005,1.3716,1.36989,1.37006
2025-12-30,1.37007,1.37086,1.3699,1.37069
2025-12-31,1.3707,1.37087,1.3706,1.37071
2026-01-01,1.3695,1.37017,1.36931,1.36948
2026-01-02,1.36948,1.37078,1.36745,1.36865
2026-01-03,1.36863,1.36876,1.36748,1.36841
2026-01-05,1.36844,1.36871,1.36692,1.36705
2026-01-06,1.36704,1.3688,1.36687,1.36866
2026-01-07,1.36865,1.36884,1.36742,1.36751
2026-01-08,1.36751,1.36772,1.36654,1.36666
2026-01-09,1.36664,1.36684,1.36471,1.3648
2026-01-10,1.36478,1.36498,1.36467,1.3648
2026-01-11,1.36478,1.36484,1.36476,1.3648
2026-01-12,1.36478,1.36663,1.36458,1.36649
2026-01-13,1.36647,1.3667,1.36549,1.3657
2026-01-14,1.36568,1.36578,1.36477,1.36496
2026-01-15,1.36494,1.36512,1.36401,1.36418
2026-01-16,1.36416,1.36426,1.36365,1.36386
2026-01-17,1.36384,1.36397,1.36374,1.36387
2026-01-18,1.36384,1.3639,1.36382,1.36387
2026-01-19,1.36384,1.36402,1.36367,1.36388
2026-01-20,1.36385,1.36925,1.36356,1.36913
2026-01-21,1.3691,1.36929,1.36725,1.36757
2026-01-22,1.36754,1.3678,1.36637,1.36649
2026-01-23,1.36645,1.36938,1.36629,1.36919
2026-01-24,1.36916,1.36924,1.36898,1.36918
2026-01-25,1.36915,1.36921,1.36913,1.36918
2026-01-26,1.36915,1.37773,1.36857,1.37759
2026-01-27,1.37756,1.37949,1.37714,1.37932
2026-01-28,1.3793,1.38366,1.37634,1.38345
2026-01-29,1.38342,1.38377,1.3781,1.38215
2026-01-30,1.38211,1.38265,1.37899,1.38176
